day,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25,,81.792,54.650,39.804,102.883,35.858,62.975,38.150,53.117,42.852,28.883,18.838,53.096,51.932,56.029,42.429,34.354,19.258,20.167,32.879,25.821,39.902,22.046,23.300,21.371,24.079,51.833,69.113,33.017,57.438,40.525,21.717,28.379,22.817,17.108,30.321,36.113,35.467,23.792,26.800,22.996,60.917,29.750,13.425,19.542,32.525,34.242,24.946,42.396,24.963,28.058,30.363,32.729,26.378
26,64.133,84.921,62.954,42.904,102.788,43.683,64.108,37.175,41.213,28.904,32.750,30.396,48.717,45.121,77.650,29.015,32.638,20.600,22.079,21.606,26.892,24.913,26.825,21.733,21.863,25.929,42.208,72.596,41.121,61.204,39.042,18.929,26.383,19.704,20.808,28.704,37.550,22.521,24.204,34.938,21.775,65.838,27.775,22.129,16.729,37.454,33.250,27.313,45.942,19.867,23.858,32.592,30.767,26.356
27,89.067,92.375,60.629,42.225,100.004,47.685,64.988,36.942,46.483,33.246,26.533,33.871,48.588,54.717,78.513,41.950,41.346,19.004,21.492,30.483,21.817,29.083,15.183,22.567,23.342,31.342,50.813,84.313,43.275,57.317,36.933,26.213,25.175,27.188,22.517,32.529,37.900,21.908,19.558,46.975,26.017,56.388,30.146,19.383,17.513,34.296,31.100,28.408,42.563,23.025,25.121,29.750,32.050,24.661
28,,84.046,56.608,42.317,98.238,47.313,59.813,32.383,48.500,24.758,34.858,33.567,44.996,53.450,69.325,48.300,30.025,23.000,23.013,22.675,21.121,31.454,11.213,24.046,25.492,22.558,40.517,71.629,38.492,51.296,37.621,27.221,23.858,48.529,29.825,34.163,30.633,11.283,27.758,19.892,24.871,48.429,33.525,27.338,19.946,34.525,30.396,25.558,47.642,22.817,34.825,26.529,30.358,23.744
29,83.000,78.742,55.325,43.971,97.200,50.121,66.088,37.688,41.758,34.654,52.788,36.883,49.233,50.525,68.633,45.396,31.804,25.913,23.192,18.233,21.400,36.471,20.792,22.713,19.538,29.217,56.604,70.933,39.717,49.138,34.954,34.246,32.571,47.029,25.529,27.792,32.679,25.225,19.696,28.204,20.650,51.658,29.288,21.758,14.358,41.988,33.108,25.529,43.704,25.908,30.379,29.175,24.888,26.194
30,80.800,75.633,58.688,43.829,95.708,43.746,61.804,26.238,42.325,43.785,51.012,41.627,46.929,54.925,72.121,45.933,28.033,27.008,17.629,22.613,21.550,33.079,23.575,23.338,10.754,23.621,63.813,84.181,45.729,55.738,34.342,27.504,28.258,37.679,38.608,23.129,36.163,16.988,30.004,28.163,23.821,39.288,30.375,24.375,15.317,37.579,33.258,34.408,46.608,22.383,33.171,24.867,30.454,28.072
31,76.496,71.204,63.458,40.102,75.604,42.925,66.088,25.250,40.192,45.425,38.336,38.500,44.442,58.144,58.325,42.271,44.758,25.217,19.563,38.900,21.117,28.117,26.979,22.646,21.275,24.438,53.198,88.150,48.842,52.521,37.742,19.867,27.504,57.242,35.817,29.329,42.900,26.708,27.288,25.633,21.467,47.677,30.371,24.683,18.054,37.604,34.925,30.892,45.254,20.663,32.217,26.788,24.688,30.488
32,72.115,100.192,61.854,36.775,70.242,37.271,59.542,27.400,43.513,43.535,36.621,25.254,42.275,53.708,58.654,45.348,51.733,23.500,20.108,29.571,28.617,34.514,22.788,24.588,15.954,38.517,44.817,103.175,38.550,55.275,41.896,25.142,22.408,73.829,26.771,28.429,40.846,30.054,14.942,26.696,28.267,51.867,9.963,26.392,19.821,38.646,33.579,28.417,55.017,21.483,31.746,22.979,28.171,32.244
33,68.985,105.613,61.917,44.613,77.642,42.604,64.921,33.942,49.236,39.685,29.313,33.448,43.896,61.686,56.775,46.010,41.492,29.683,22.563,26.242,25.813,25.178,19.633,25.692,20.546,70.650,44.833,108.833,43.704,45.867,38.875,24.933,30.517,69.554,23.713,26.246,45.950,28.975,21.096,23.404,30.021,40.344,31.733,27.133,16.283,35.925,29.692,26.458,42.767,20.567,31.225,24.125,29.063,25.889
34,63.352,95.013,37.683,34.154,82.183,41.754,63.229,44.233,41.352,35.283,16.471,50.134,45.792,60.950,49.158,46.954,47.963,25.683,20.050,35.896,22.288,23.013,20.479,20.783,21.267,75.194,48.446,97.429,42.788,51.804,49.450,24.054,28.254,56.788,25.213,24.963,50.071,26.196,18.079,25.208,26.146,36.567,36.817,24.567,21.096,33.775,25.667,32.246,54.738,22.838,35.625,24.192,27.863,25.539
35,60.848,89.338,48.150,31.075,69.325,38.050,63.963,32.675,33.179,22.685,18.321,57.233,51.663,52.458,56.129,58.309,53.450,29.313,20.533,27.708,15.825,21.613,24.154,16.983,18.146,59.833,42.008,102.992,35.667,50.658,42.542,21.500,32.879,50.733,28.496,24.925,48.688,22.433,22.550,27.508,20.983,36.052,30.888,27.371,18.425,42.150,20.800,28.163,59.050,33.250,38.383,23.338,26.746,28.700
36,57.510,82.854,46.571,37.971,62.988,42.329,58.913,28.563,39.267,18.233,35.208,32.008,56.494,40.471,47.300,59.747,48.542,26.767,19.733,22.088,19.200,24.835,27.575,24.296,13.396,52.463,44.933,100.454,40.067,56.065,40.071,21.592,35.638,41.604,23.371,25.779,57.063,20.704,23.904,23.958,16.033,36.329,29.958,29.138,17.313,38.021,25.925,34.692,82.854,29.279,28.038,24.346,26.333,29.839
37,52.711,76.029,47.104,38.794,64.850,41.904,55.983,19.475,46.921,20.704,39.708,46.699,39.529,27.208,51.250,48.888,46.208,28.088,15.042,37.588,27.092,29.504,27.492,21.433,14.121,49.867,58.121,94.592,31.571,35.158,51.775,20.233,38.588,40.454,29.617,20.675,53.448,17.725,23.063,22.167,25.717,31.421,23.200,27.608,26.388,38.142,19.417,33.496,79.525,30.367,33.825,26.146,19.817,25.050
38,,70.808,51.846,39.846,64.129,44.717,56.129,31.746,49.129,29.663,35.525,27.906,34.425,47.938,49.647,51.082,38.129,25.892,18.546,40.217,27.000,22.308,19.717,17.371,23.767,43.938,81.617,89.221,38.371,47.333,45.825,19.238,46.067,36.888,22.767,24.888,50.271,23.008,19.767,28.692,29.071,46.788,28.108,26.104,15.625,43.375,22.783,35.521,73.667,24.000,54.204,19.000,24.629,19.572
39,,66.442,62.867,40.258,63.088,42.221,56.988,27.088,48.917,32.408,28.588,14.808,51.150,38.213,56.078,44.239,40.058,24.250,18.446,34.677,20.479,25.871,16.129,15.696,34.871,43.075,161.958,86.579,45.350,57.929,37.458,26.221,39.444,38.263,22.004,20.642,38.508,20.917,24.796,17.913,25.504,39.856,29.279,28.313,18.804,47.721,22.742,37.479,69.646,28.608,66.900,24.317,25.525,20.644
40,40.819,64.763,55.879,33.808,61.546,41.517,53.104,31.621,58.729,30.713,34.875,29.058,58.838,43.046,41.600,55.363,35.058,30.750,17.346,32.088,27.192,26.954,21.100,24.175,20.842,43.808,176.267,89.792,37.517,53.881,38.871,21.371,13.638,32.963,21.250,20.150,46.800,16.929,25.100,28.479,33.292,43.558,31.500,30.433,16.733,62.663,20.242,36.583,67.050,23.850,52.229,26.563,24.500,29.617
41,38.941,71.125,46.171,36.079,64.292,42.029,44.417,30.463,60.058,29.608,13.504,30.352,50.985,40.379,44.467,32.742,47.879,34.046,18.658,29.898,21.221,23.700,15.053,20.563,23.738,40.221,137.158,81.938,38.075,51.288,30.654,21.833,19.642,24.246,25.838,16.546,49.175,26.396,15.883,36.458,23.483,37.404,24.067,22.121,21.046,77.396,21.679,62.413,62.208,22.383,40.996,24.958,24.529,34.122
42,33.934,76.804,40.346,25.117,64.667,43.533,43.163,25.613,59.633,26.671,21.408,37.142,42.596,45.542,49.004,49.238,49.905,28.550,25.404,27.427,19.529,25.042,20.433,17.292,18.550,39.158,109.475,83.992,43.133,40.808,46.096,13.504,28.821,35.633,24.663,20.683,47.413,22.363,27.533,24.983,17.592,43.183,27.138,30.038,23.467,78.813,21.175,72.317,56.858,25.908,38.704,30.042,25.321,33.311
43,30.178,87.577,43.575,43.621,62.783,44.667,58.121,22.392,59.750,31.992,30.847,34.446,37.108,43.629,52.421,43.242,48.487,33.383,23.738,16.758,35.879,24.504,20.450,21.029,19.017,39.846,84.733,78.946,42.792,46.658,33.613,18.996,31.385,28.375,23.571,15.438,46.508,26.150,26.258,24.025,20.446,30.583,23.517,24.871,17.367,72.746,23.813,71.488,55.450,28.758,42.375,26.088,17.821,31.800
44,26.423,85.071,37.900,31.667,61.650,45.563,63.146,17.900,58.175,49.573,34.615,27.983,36.471,39.213,66.700,44.304,42.067,35.071,21.213,20.100,35.013,24.075,20.813,21.288,19.258,43.638,85.742,89.779,38.883,50.300,30.529,22.308,38.971,29.406,26.342,18.713,51.367,37.117,30.646,30.383,17.650,39.950,30.996,29.663,25.696,69.750,28.788,64.425,55.946,25.679,41.854,22.854,26.321,18.489
45,,85.229,48.563,28.892,58.613,45.129,61.488,21.421,58.863,53.775,35.465,20.242,40.979,47.946,55.183,58.079,38.083,36.558,25.721,23.408,36.673,23.775,23.338,19.821,18.650,45.317,86.746,83.546,42.754,40.779,40.975,26.429,40.313,26.771,28.438,21.638,44.504,30.008,28.125,23.221,17.079,46.167,31.146,24.275,30.742,68.129,24.021,58.129,51.613,26.883,37.421,17.038,24.742,19.117
46,,86.971,52.844,34.196,44.233,14.713,64.742,28.433,54.658,71.229,38.604,15.775,44.821,43.300,63.698,45.650,28.117,35.458,22.896,20.450,47.942,25.329,27.592,18.913,19.129,42.775,85.152,90.058,40.929,52.729,45.996,29.504,32.342,26.117,21.346,18.083,41.550,28.754,30.267,19.430,21.625,53.538,29.188,27.671,38.546,65.058,34.092,57.525,55.396,25.954,41.483,22.438,29.158,21.128
47,15.026,89.392,50.021,37.729,56.726,15.208,63.688,21.533,57.817,50.413,25.208,27.554,63.371,50.808,61.513,40.233,36.188,40.175,21.692,12.504,28.204,30.496,15.629,32.644,22.533,44.121,74.265,101.171,44.183,53.396,50.896,25.483,16.879,24.325,25.013,18.617,39.804,40.179,22.375,19.983,22.721,45.554,32.233,29.729,27.429,65.013,53.533,58.529,52.417,28.650,28.188,21.975,27.904,21.400
48,19.783,91.346,66.754,43.013,60.592,19.350,64.142,20.150,46.692,32.838,9.792,61.546,85.929,69.317,59.992,38.813,51.588,39.938,23.917,18.442,32.600,35.463,13.867,34.654,21.992,47.383,85.575,94.350,34.842,46.142,57.998,21.313,19.554,28.350,29.217,20.046,47.321,41.000,19.821,23.054,24.196,57.000,23.617,25.129,36.575,58.471,56.417,74.800,60.050,23.125,35.750,25.071,24.529,21.617
49,30.652,89.458,69.642,31.771,60.408,37.629,65.658,25.475,44.546,31.813,24.858,65.850,107.258,56.783,39.333,43.025,72.075,35.467,25.533,18.213,33.446,35.367,20.488,24.523,19.946,36.467,93.100,98.296,40.371,49.067,55.529,16.063,24.071,26.408,24.294,19.521,33.348,33.433,26.579,23.233,22.825,50.729,27.592,23.492,31.979,56.988,55.963,72.083,65.908,27.213,27.925,21.858,28.213,21.911
50,81.326,86.121,66.900,38.179,62.192,43.900,65.850,26.283,45.033,29.967,32.108,55.342,88.092,76.850,42.754,45.625,80.310,25.588,27.192,12.375,47.513,37.296,20.117,24.921,23.967,45.608,117.717,96.725,39.304,46.875,29.658,19.733,28.683,29.542,38.404,17.058,34.292,37.519,25.475,27.113,24.054,51.133,29.263,30.392,30.496,47.467,53.558,72.179,55.617,29.175,28.158,23.879,22.842,22.039
51,66.908,83.108,70.521,37.792,63.179,46.292,64.058,28.363,45.829,38.725,32.733,73.133,103.558,73.580,42.033,49.913,92.161,29.308,19.588,15.996,28.339,33.358,23.529,19.858,22.671,45.729,120.946,99.638,56.121,53.608,34.729,23.617,32.892,25.613,35.983,19.408,43.375,38.833,25.442,25.492,24.225,42.983,30.288,27.642,34.738,53.946,58.321,71.650,57.346,26.538,22.567,31.038,21.417,21.944
52,56.246,79.638,72.233,36.208,68.054,70.675,61.188,22.142,44.775,39.508,46.158,70.663,88.542,84.783,50.238,43.004,113.167,25.283,20.663,20.829,31.992,40.267,31.504,24.513,22.271,49.763,124.117,93.038,36.035,53.554,31.888,21.475,28.571,32.867,35.300,19.971,44.433,37.988,22.821,22.783,28.167,47.133,27.867,22.683,26.500,46.579,49.800,74.629,52.296,27.371,25.958,21.704,21.675,22.394
53,54.250,77.171,62.269,34.963,79.021,67.263,61.450,29.025,43.163,39.696,55.181,61.313,117.013,91.385,50.958,49.283,90.468,22.533,18.800,26.929,30.665,42.233,38.313,18.133,19.921,50.258,119.796,99.133,45.238,59.908,45.696,22.792,27.467,32.508,31.546,21.788,36.383,29.338,32.354,21.850,23.129,50.471,35.367,25.404,31.754,46.163,41.883,94.342,49.746,30.688,20.367,20.613,26.179,24.950
54,54.400,75.508,60.288,34.504,78.263,65.632,63.042,16.821,40.733,45.238,36.017,62.121,122.692,67.817,43.296,43.958,85.044,25.488,23.388,29.700,30.146,40.588,35.079,23.767,20.342,54.658,115.658,95.171,34.071,45.517,41.896,19.404,19.271,34.292,37.908,12.733,45.150,36.504,23.396,26.442,27.258,42.715,61.713,21.738,27.629,49.354,47.300,92.308,51.000,23.579,23.738,33.092,22.396,25.639
55,48.008,75.525,77.754,30.042,76.625,59.042,59.854,24.554,40.496,30.286,28.725,57.079,138.808,79.025,50.754,27.429,128.854,25.379,20.267,27.963,26.694,38.446,39.196,23.913,24.292,47.575,110.917,85.927,35.883,65.246,45.942,12.938,31.563,36.308,33.863,19.217,39.725,34.854,24.840,23.488,18.433,42.117,53.442,21.900,29.504,42.121,38.007,88.508,49.429,26.042,27.221,36.458,19.363,24.578
56,33.188,73.854,71.429,28.021,75.921,51.154,60.208,24.204,35.033,20.145,40.283,61.283,119.554,79.567,33.150,37.992,155.967,28.513,24.417,28.658,29.294,46.723,34.650,24.375,20.700,46.679,106.008,88.025,44.354,76.946,50.779,18.817,32.408,32.875,32.492,18.054,28.017,30.325,23.717,36.917,20.117,44.079,30.621,26.813,27.229,31.096,39.871,79.033,48.896,28.104,27.421,27.438,19.975,24.561
57,51.558,73.958,75.233,29.150,75.754,52.471,60.233,26.933,39.450,31.844,30.350,62.550,108.806,86.152,30.588,42.296,150.079,20.413,21.046,32.488,33.445,38.604,32.992,26.206,21.738,48.321,95.300,88.438,37.877,73.346,52.325,25.408,37.338,23.329,32.258,14.796,31.446,32.433,23.877,35.383,24.242,39.025,39.029,25.317,27.058,29.133,32.896,83.929,47.688,26.667,22.750,27.938,19.688,24.111
58,48.233,73.863,75.738,30.008,75.342,57.346,64.467,15.321,47.579,42.956,27.146,56.508,101.196,89.850,70.394,67.435,145.321,20.129,21.867,34.663,39.528,36.319,40.492,25.696,15.725,47.871,98.388,91.225,34.796,80.083,44.971,22.500,42.017,25.083,38.363,14.925,37.588,37.613,28.421,36.767,18.871,40.725,36.450,25.483,32.292,41.867,37.771,72.108,46.383,30.679,22.954,26.767,17.971,25.850
59,45.629,70.700,86.846,34.525,75.038,55.021,67.854,22.492,57.796,51.792,26.942,45.771,98.592,92.196,42.608,60.190,151.546,18.300,16.833,37.696,48.564,33.570,37.996,21.517,17.663,51.538,104.050,90.471,42.925,80.267,62.121,21.804,33.575,29.546,36.388,22.838,40.413,25.188,28.338,32.117,17.863,44.146,37.454,18.129,37.983,38.858,42.417,73.050,46.475,32.700,22.967,30.008,18.383,17.844
60,43.408,70.258,98.613,41.392,76.446,48.242,72.617,27.221,52.454,49.702,40.463,38.456,99.158,84.706,40.481,47.158,137.350,20.808,21.533,33.779,32.767,36.111,39.042,19.892,21.333,48.771,99.567,91.392,42.488,91.758,71.504,11.521,25.858,29.825,26.163,16.604,47.669,26.433,31.421,33.238,21.492,54.213,38.200,24.667,38.917,36.892,41.625,71.463,53.204,33.013,20.704,30.942,26.204,25.367
61,43.000,66.225,108.115,40.719,75.975,40.892,74.567,26.804,61.733,35.554,43.950,49.907,98.065,85.458,46.292,40.229,134.133,20.233,21.733,31.638,31.906,26.175,39.600,23.246,22.229,45.004,92.729,88.471,35.871,98.488,57.625,13.800,21.604,20.646,32.908,22.554,46.229,29.321,23.629,30.191,20.304,47.179,38.450,25.667,43.113,33.133,37.183,66.796,50.904,32.988,25.625,36.250,39.525,28.722
62,39.721,57.783,96.425,44.292,75.971,65.625,74.746,29.700,47.454,33.858,29.283,42.508,101.258,98.027,47.117,28.979,138.271,23.317,23.871,28.521,25.533,19.279,40.388,23.838,34.479,48.100,94.192,86.708,33.183,86.958,59.854,14.979,23.871,25.767,35.654,21.767,37.425,30.354,30.704,38.725,21.925,51.496,32.508,27.463,41.379,29.488,37.138,68.058,44.625,33.613,24.258,37.496,48.096,23.694
63,38.150,56.871,93.246,42.200,76.788,69.529,68.817,29.679,50.250,26.833,22.717,47.033,108.783,93.742,52.467,42.000,130.358,26.021,26.058,22.900,30.442,28.929,41.646,22.875,34.033,45.721,93.067,89.679,31.075,86.856,56.429,12.988,24.071,29.050,31.271,14.100,46.633,19.663,33.100,50.213,20.271,58.775,36.371,36.229,63.617,36.454,33.967,64.904,44.000,35.483,24.567,36.325,51.938,22.750
