"date","MOUTH","BON","MCN","PRA","RIS","RRE","ICH","WEL","LGR"
2015-11-22,NA,12.3663365993881,11.9355161652968,11.0972433223744,10.7117011497918,10.700337945064,11.9726013389591,10.5180330260869,11.1338684667214
2015-11-23,NA,12.1062589251945,11.6754384911032,10.8371656481807,10.4516234755982,10.4402602708704,11.7125236647655,10.2579553518933,10.8737907925278
2015-11-24,NA,11.8377538764988,11.4069334424075,10.568660599485,10.1831184269025,10.1717552221747,11.4440186160698,9.98945030319762,10.6052857438321
2015-11-25,NA,11.5981586264876,11.1673381923963,10.3290653494738,9.94352317689124,9.93215997216347,11.2044233660586,9.74985505318639,10.3656904938209
2015-11-26,NA,11.3537825053167,10.9229620712254,10.0846892283029,9.69914705572032,9.68778385099255,10.9600472448876,9.50547893201547,10.1213143726499
2015-11-27,NA,11.1118336231337,10.6810131890425,9.84274034611998,9.4571981735374,9.44583496880963,10.7180983627047,9.26353004983254,9.87936549046702
2015-11-28,NA,10.8796355128802,10.4488150787889,9.6105422358664,9.22500006328382,9.21363685855605,10.4859002524511,9.03133193957897,9.64716738021344
2015-11-29,NA,10.6517836755512,10.2209632414599,9.38269039853742,8.99714822595484,8.98578502122707,10.2580484151221,8.80348010224999,9.41931554288446
2015-11-30,NA,10.4479725415393,10.017152107448,9.17887926452553,8.79333709194295,8.78197388721518,10.0542372811103,8.5996689682381,9.21550440887257
2015-12-01,NA,10.2791915259353,9.84837109184398,9.0100982489215,8.62455607633892,8.61319287161115,9.88545626550622,8.43088795263406,9.04672339326854
2015-12-02,NA,10.1404928076087,9.7096723735174,8.87139953059492,8.48585735801234,8.47449415328457,9.74675754717965,8.29218923430749,8.90802467494196
2015-12-03,NA,10.0247820040626,9.59396156997135,8.75568872704887,8.37014655446629,8.35878334973852,9.6310467436336,8.17647843076144,8.79231387139591
2015-12-04,NA,9.9274598304816,9.49663939639031,8.65836655346783,8.27282438088525,8.26146117615748,9.53372457005256,8.0791562571804,8.69499169781487
2015-12-05,NA,9.85985622691694,9.42903579282566,8.59076294990318,8.2052207773206,8.19385757259283,9.4661209664879,8.01155265361574,8.62738809425022
2015-12-06,NA,9.79101168360237,9.36019124951109,8.52191840658861,8.13637623400603,8.12501302927826,9.39727642317333,7.94270811030117,8.55854355093565
2015-12-07,NA,9.752335783174,9.32151534908271,8.48324250616023,8.09770033357765,8.08633712884988,9.35860052274496,7.9040322098728,8.51986765050727
2015-12-08,NA,9.7285388337798,9.29771839968851,8.45944555676603,8.07390338418345,8.06254017945568,9.33480357335076,7.8802352604786,8.49607070111307
2015-12-09,NA,9.68704727069562,9.25622683660433,8.41795399368185,8.03241182109927,8.0210486163715,9.29331201026658,7.83874369739442,8.45457913802889
2015-12-10,NA,9.60404178459961,9.17322135050832,8.33494850758584,7.94940633500326,7.93804313027549,9.21030652417057,7.75573821129841,8.37157365193288
2015-12-11,NA,9.56165708988041,9.13083665578912,8.29256381286664,7.90702164028406,7.89565843555629,9.16792182945137,7.71335351657921,8.32918895721368
2015-12-12,NA,9.52113131158193,9.09031087749064,8.25203803456816,7.86649586198558,7.85513265725781,9.12739605115289,7.67282773828073,8.2886631789152
2015-12-13,NA,9.44096604825149,9.0101456141602,8.17187277123772,7.78633059865514,7.77496739392737,9.04723078782245,7.59266247495029,8.20849791558476
2015-12-14,NA,9.29842367609898,8.8676032420077,8.02933039908521,7.64378822650263,7.63242502177486,8.90468841566994,7.45012010279778,8.06595554343226
2015-12-15,NA,9.13314111830255,8.70232068421127,7.86404784128878,7.47850566870621,7.46714246397843,8.73940585787351,7.28483754500135,7.90067298563583
2015-12-16,NA,8.94523745867631,8.51441702458503,7.67614418166254,7.29060200907996,7.27923880435219,8.55150219824727,7.09693388537511,7.71276932600958
2015-12-17,NA,8.7406083443008,8.30978791020951,7.47151506728703,7.08597289470445,7.07460968997668,8.34687308387176,6.8923047709996,7.50814021163407
2015-12-18,NA,8.57047754684115,8.13965711274986,7.30138426982738,6.9158420972448,6.90447889251703,8.17674228641211,6.72217397353995,7.33800941417442
2015-12-19,NA,8.41133522444658,7.98051479035529,7.14224194743281,6.75669977485023,6.74533657012246,8.01759996401754,6.56303165114538,7.17886709177985
2015-12-20,NA,8.27595618402671,7.84513574993543,7.00686290701294,6.62132073443036,6.60995752970259,7.88222092359767,6.42765261072551,7.04348805135999
2015-12-21,NA,8.11758816925191,7.68676773516062,6.84849489223814,6.46295271965556,6.45158951492779,7.72385290882287,6.26928459595071,6.88512003658518
2015-12-22,NA,7.97290742437246,7.54208699028117,6.70381414735869,6.31827197477611,6.30690877004834,7.57917216394342,6.12460385107126,6.74043929170573
2015-12-23,NA,7.84778783703332,7.41696740294204,6.57869456001955,6.19315238743697,6.1817891827092,7.45405257660428,5.99948426373212,6.6153197043666
2015-12-24,NA,7.71861089240861,7.28779045831733,6.44951761539484,6.06397544281227,6.05261223808449,7.32487563197957,5.87030731910741,6.48614275974189
2015-12-25,NA,7.59702035436729,7.16619992027601,6.32792707735353,5.94238490477095,5.93102170004317,7.20328509393825,5.7487167810661,6.36455222170057
2015-12-26,NA,7.45586447582853,7.02504404173725,6.18677119881476,5.80122902623218,5.78986582150441,7.06212921539949,5.60756090252733,6.2233963431618
2015-12-27,NA,7.31012226744736,6.87930183335607,6.04102899043359,5.65548681785101,5.64412361312324,6.91638700701832,5.46181869414616,6.07765413478063
2015-12-28,NA,7.1690616802625,6.73824124617121,5.89996840324873,5.51442623066615,5.50306302593838,6.77532641983346,5.3207581069613,5.93659354759577
2015-12-29,NA,7.04166984566152,6.61084941157024,5.77257656864775,5.38703439606518,5.3756711913374,6.64793458523248,5.19336627236032,5.8092017129948
2015-12-30,NA,6.8864284903899,6.45560805629861,5.61733521337613,5.23179304079355,5.22042983606578,6.49269322996086,5.0381249170887,5.65396035772317
2015-12-31,NA,6.68755662205308,6.25673618796179,5.41846334503931,5.03292117245673,5.02155796772896,6.29382136162404,4.83925304875188,5.45508848938635
2016-01-01,NA,6.4277838983449,5.99696346425361,5.15869062133113,4.77314844874855,4.76178524402078,6.03404863791586,4.5794803250437,5.19531576567817
2016-01-02,NA,6.2387911139937,5.80797067990242,4.96969783697993,4.58415566439735,4.57279245966958,5.84505585356466,4.3904875406925,5.00632298132697
2016-01-03,NA,5.9832359231127,5.55241548902141,4.71414264609893,4.32860047351635,4.31723726878858,5.58950066268366,4.1349323498115,4.75076779044597
2016-01-04,NA,5.84730845373254,5.41648801964125,4.57821517671877,4.19267300413619,4.18130979940842,5.4535731933035,3.99900488043134,4.61484032106581
2016-01-05,NA,5.75097084236958,5.32015040827829,4.48187756535581,4.09633539277323,4.08497218804546,5.35723558194054,3.90266726906838,4.51850270970285
2016-01-06,NA,5.70342434794747,5.27260391385619,4.4343310709337,4.04878889835112,4.03742569362335,5.30968908751843,3.85512077464627,4.47095621528075
2016-01-07,NA,5.70976288566704,5.27894245157576,4.44066960865327,4.05512743607069,4.04376423134292,5.316027625238,3.86145931236584,4.47729475300031
