"Tag Code","Mark File Name","Mark Data Project Code and Name","Mark Site Name","Mark Date MMDDYYYY","Release Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Hatchery Code","Hatchery Name","Mark Site Basin Name","Mark Site Basin Code","Mark Site Subbasin Code","Mark Site Subbasin Name","Release Site Basin Name","Release Site Basin Code","Release Site Subbasin Code","Release Site Subbasin Name","Stock Name","Capture Method Name","Capture Method Code","Mark Count"
"3D9.1BF204B9E6","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204C012","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204C14A","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204C1C0","MLS05131.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/11/2005","TUCR - Tucannon River","5/11/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF204C582","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204C5F8","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204D67F","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204D796","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204DA30","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204DB88","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204E160","MLS05130.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/10/2005","TUCR - Tucannon River","5/10/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF204E2B1","MLS05146.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/26/2005","TUCR - Tucannon River","6/5/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF204E417","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204E694","MLS05141.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/21/2005","TUCR - Tucannon River","5/25/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
