"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL_quick","WEL_slow","ICH","LGR_quick","LGR_slow"
"3906",0,-1.20610549325154,-1.23373794125752,-1.32537017259231,-1.24281043407526,-1.25100513465878,NA,0.0932488990151588,-1.16833342623338,-1.10230054730893,0.138901760562698
"3907",0,-1.19939613581243,-1.23257907928226,-1.32254905817445,-1.23881212264029,-1.24781032469863,NA,0.115992201256646,-1.15042177233341,-1.09071309881118,0.161026933032194
"3908",0,-1.19283718489235,-1.22379104263653,-1.31477379160816,-1.23355719904004,-1.24424496043719,NA,0.138846266333726,-1.13319376934565,-1.07857939463881,0.182803805961877
"3909",0,-1.18639051286862,-1.20595744446168,-1.29839756645084,-1.22807380050065,-1.23843175894447,NA,0.161797802706126,-1.1169619434014,-1.06494348736125,0.204995674087934
"3910",0,-1.18019401634805,-1.1766317983655,-1.28325987933063,-1.22190497714384,-1.23306223445435,NA,0.184694696079634,-1.10106217647165,-1.05040625822057,0.226916313210646
"3911",0,-1.17390781100335,-1.14463433160413,-1.26437217426473,-1.2154505601131,-1.22447099527015,NA,0.207628510398339,-1.08666644154877,-1.03530228881749,0.248181852773369
"3912",0,-1.16739406986995,-1.11649973809363,-1.24445235416791,-1.20596885013874,-1.21532132553897,NA,0.230743975767415,-1.07539596793886,-1.01902386971398,0.269583747900615
"3913",0,-1.1612411958645,-1.0972175624497,-1.23110366643464,-1.19574459661218,-1.20599983102412,NA,0.253763446678978,-1.07055181290375,-1.00458223531637,0.290834466206325
"3914",0,-1.15567641514717,-1.08051063563969,-1.22876420569788,-1.18506339320733,-1.19779519760321,NA,0.276385648220219,-1.06840319575108,-0.991451614537825,0.311717617338105
"3915",0,-1.15092477141784,-1.07983463282079,-1.22725043698586,-1.18003694454622,-1.1951319134561,NA,0.298665223390029,-1.0677976763717,-0.979645663770223,0.332820123073682
"3916",0,-1.14636811405565,-1.08826857275186,-1.23285826198721,-1.18215033773328,-1.19925570826452,NA,0.320789730590012,-1.06648897319689,-0.969580902965455,0.353744773725098
"3917",0,-1.14113203439541,-1.09940652395853,-1.23839727931983,-1.1890617046423,-1.20264924774228,NA,0.342822673845905,-1.06316838305186,-0.959618565099676,0.374141787626841
"3918",0,-1.13451072715589,-1.10565150238077,-1.24059912471913,-1.19528764673389,-1.20819059701609,NA,0.364673966051428,-1.05926180641064,-0.947478032731373,0.394009682653207
"3919",0,-1.12629685701902,-1.11527649489752,-1.23949820201948,-1.19860053335144,-1.21265804139187,NA,0.386288964207689,-1.05197604097477,-0.934777588296591,0.413870167051067
"3920",0,-1.11651441985158,-1.12058794561746,-1.23340872333703,-1.19951443310801,-1.20909267713043,NA,0.407929068606684,-1.0414673498099,-0.923415470264613,0.43396779156114
"3921",0,-1.1054264076999,-1.11949346486305,-1.21954397808829,-1.19665849636874,-1.20428158318728,NA,0.429762638758512,-1.02955229105419,-0.913535070750027,0.454216592892749
"3922",0,-1.09376723072043,-1.10887056342316,-1.20801869357632,-1.18837627982487,-1.19315592844374,NA,0.451760137907016,-1.01619179894124,-0.902384626791963,0.474216397106534
"3923",0,-1.08159775842365,-1.09148763379425,-1.19879846596673,-1.17198320294149,-1.17885151520204,NA,0.473797511676332,-1.00154213653668,-0.888516560852692,0.494193969434799
"3924",0,-1.06931621152103,-1.0735252731777,-1.19102319940044,-1.1541050389537,-1.16557805066246,NA,0.495260395538381,-0.985564238074107,-0.872920961342454,0.51453318043419
"3925",0,-1.05751233068943,-1.0604558853456,-1.18307591366233,-1.14336671681406,-1.15913462127431,NA,0.516256598653136,-0.968824557166498,-0.855229105680883,0.534675268715303
"3926",0,-1.04644620915723,-1.05301985433767,-1.18218141396887,-1.14313824187492,-1.15595586277615,NA,0.537118409527373,-0.951752817244385,-0.834020729113983,0.554603930895424
"3927",0,-1.03574639026493,-1.04722554446137,-1.17853460752627,-1.14479468518369,-1.15324962243313,NA,0.558111658966513,-0.936067912029904,-0.813392749201361,0.574726751542419
"3928",0,-1.02480442620829,-1.04419962708152,-1.16418820859644,-1.14290976693578,-1.1466343682613,NA,0.579242254321786,-0.923840327142899,-0.794929307399397,0.594902928714663
"3929",0,-1.01344587150045,-1.04217161862481,-1.14505967668999,-1.12840160830031,-1.12747590488053,NA,0.600588467997011,-0.913566030576502,-0.776971152096452,0.614711538712976
"3930",0,-1.00210978226296,-1.0335445350312,-1.13391283435602,-1.10058478445987,-1.10294791700964,NA,0.621707248649821,-0.906416995323077,-0.761382380782146,0.634567576733732
"3931",0,-0.990991414665974,-1.01352197534753,-1.12066735812583,-1.07059744869759,-1.07305040464862,NA,0.642450912499427,-0.900732926310109,-0.747917178402904,0.654451775142813
"3932",0,-0.980306087786111,-0.992984365897075,-1.10559847867435,-1.04369452461372,-1.05264621158615,NA,0.662738233466396,-0.897783460945991,-0.734895808759285,0.674343384180401
"3933",0,-0.970066609442233,-0.984453854134738,-1.09665348173968,-1.03181382777838,-1.04388314761827,NA,0.68258841044223,-0.897607664997136,-0.721874439115667,0.6934687342304
"3934",0,-0.960105704136292,-0.98306965788651,-1.09046079155414,-1.02918636597825,-1.03885727269551,NA,0.702348500311782,-0.898818703755913,-0.708812100296452,0.71223985623778
"3935",0,-0.950052069957138,-0.98603119404551,-1.08261671731912,-1.0324992525958,-1.04156351303853,NA,0.722118928045989,-0.898799170872707,-0.693277954549608,0.731025799502174
"3936",0,-0.939032550129821,-0.994432943366151,-1.07625200796176,-1.03129975916531,-1.04096212629564,NA,0.742295486177367,-0.894482403684164,-0.675654380847364,0.749499014243586
