"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"246","Snake River","wild",3,4,2430,11.8916661900829,4926,95,106.891666190083,0.493300852618758,0.00241406134593645,1.12517543357982
"247","Snake River","hatchery",4,5,297,-9.98095654213065,429,218,208.019043457869,0.692307692307692,-0.0232656329653395,0.9542157956783
"248","Snake River","wild",4,5,50,0.856297038475009,116,56,56.856297038475,0.431034482758621,0.00738187102133628,1.0152910185442
"249","Snake River","hatchery",5,6,113,-8.91283635317903,241,153,144.087163646821,0.468879668049793,-0.0369827234571744,0.941746167626281
"250","Snake River","wild",5,6,59,-3.90985593083913,65,33,29.0901440691609,0.907692307692308,-0.0601516297052174,0.881519517247299
"251","Snake River","hatchery",6,7,104,-10.0514711522513,171,124,113.948528847749,0.608187134502924,-0.0587805330541009,0.918939748772167
"252","Snake River","wild",6,7,18,-2.48361154122874,40,22,19.5163884587713,0.45,-0.0620902885307184,0.887108566307785
"253","Snake River","hatchery",2,10,2607,-55.9827069963077,11496,954,898.017293003692,0.226774530271399,-0.00486975530587228,0.941317917194646
"254","Snake River","wild",2,10,1208,-37.0320355283988,2708,290,252.967964471601,0.446085672082718,-0.0136750500474146,0.872303325764142
"255","Snake River","hatchery",2,12,9728,-9.20155608894404,16119,24,14.798443911056,0.603511384080898,-0.000570851547176874,0.616601829627332
"256","Snake River","wild",2,12,1860,-1.06529081668531,3800,8,6.93470918331469,0.489473684210526,-0.000280339688601396,0.866838647914337
"257","Snake River","hatchery",2,14,7989,-1.35375559687734,16119,13,11.6462444031227,0.495626279545878,-8.3985085729719e-05,0.895864954086358
"258","Snake River","wild",2,14,3784,-1.62554701296239,3800,4,2.37445298703761,0.995789473684211,-0.000427775529726944,0.593613246759403
"259","Snake River","hatchery",2,16,16749,-0.574874896408632,19668,3,2.42512510359137,0.851586333129957,-2.92289453126211e-05,0.808375034530456
"260","Snake River","wild",2,16,0,0,0,0,0,NA,NA,NA
"261","Snake River","hatchery",2,18,13628,6.16244996638791,29627,10,16.1624499663879,0.459985823741857,0.000208001146467341,1.61624499663879
"262","Snake River","wild",2,18,6210,0.563040085285172,6278,2,2.56304008528517,0.989168525007964,8.96846265188232e-05,1.28152004264259
"263","Snake River","hatchery",3,22,18239,14.7099248464877,22619,18,32.7099248464877,0.806357487068394,0.000650334888655012,1.8172180470271
"264","Snake River","wild",3,22,4461,-0.759425444883726,4926,3,2.24057455511627,0.905602923264312,-0.00015416675698005,0.746858185038758
"265","Snake River","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"266","Snake River","wild",7,28,0,0,0,0,0,NA,NA,NA
"267","Snake River","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"268","Snake River","wild",7,30,0,0,0,0,0,NA,NA,NA
"269","Snake River","hatchery",2,41,20405,1.99451357063314,29818,24,25.9945135706331,0.684318197062177,6.68895824881999e-05,1.08310473210971
"270","Snake River","wild",2,41,6303,-0.656936260622432,6451,3,2.34306373937757,0.977057820492947,-0.000101834794701974,0.781021246459189
