"run_year","mean_discharge_cfs","tributary","mean_discharge_zscore"
"08/09",1264.28767123288,"Methow River",-1.08378836245071
"09/10",1297.21643835616,"Methow River",-1.00062489454703
"10/11",2009.48767123288,"Methow River",0.798256478456787
"11/12",2450.9043715847,"Methow River",1.91307937645405
"12/13",2004.53424657534,"Methow River",0.785746323704323
"13/14",1534.27397260274,"Methow River",-0.401922654440987
"14/15",1775.3397260274,"Methow River",0.206902570401145
"15/16",1900.07923497268,"Methow River",0.521939270975218
"16/17",1877.93150684932,"Methow River",0.466003928178122
"17/18",2417.79726027397,"Methow River",1.82946549019573
"18/19",1237.51232876712,"Methow River",-1.15141100758115
"19/20",1304.91803278689,"Methow River",-0.981174081255157
"20/21",1556.26301369863,"Methow River",-0.346388084726784
"21/22",1466.00557103064,"Methow River",-0.574338372336546
