day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
19,146.100,113.400,133.363,119.267,152.158,131.975,159.058,150.608,141.004,309.333,149.483,194.096,140.308,183.950,165.475,144.733,181.579,168.133,205.625,193.029,201.121,113.221,184.221,155.708,144.488,156.167,216.842,131.242,137.479,142.496,124.638,259.858,197.567,122.079,208.046,182.350,129.213,121.025,98.921,110.233,138.979,185.142,178.446,155.304,175.463,80.983,221.242,157.979,178.971,119.525,176.767,124.400,165.917,188.617,100.513,115.288,164.763,191.288,127.200
20,147.900,129.000,125.050,104.904,146.346,128.467,171.704,106.825,144.383,317.300,147.279,203.321,151.904,158.425,142.738,122.438,173.800,188.642,199.283,202.579,200.208,117.579,171.125,161.096,153.263,157.300,200.746,130.279,116.517,124.904,124.600,263.575,252.425,152.450,217.196,189.750,120.754,126.321,101.754,124.679,122.600,187.521,158.700,92.563,151.817,95.996,227.975,148.846,168.946,127.900,184.208,109.129,152.467,204.425,101.475,134.246,164.054,193.808,131.678
21,142.800,115.000,115.233,98.550,161.167,138.888,214.858,141.113,134.675,294.038,166.796,209.767,126.483,139.275,128.279,134.008,188.704,184.113,187.113,196.596,202.350,108.200,164.771,165.650,138.696,156.033,214.254,142.025,102.438,121.375,123.142,247.575,243.021,164.633,204.521,198.579,93.938,113.550,98.167,129.692,125.696,180.529,138.338,127.421,168.708,98.942,220.196,129.225,183.867,140.421,220.133,111.467,151.192,198.433,93.508,132.833,152.521,186.646,136.417
22,137.300,103.300,106.163,98.167,189.092,183.900,194.883,210.942,145.267,301.925,154.696,221.250,137.550,157.796,147.700,130.279,179.588,205.875,174.958,197.967,206.454,127.104,184.192,143.733,139.829,149.483,212.592,151.813,122.421,105.421,121.554,274.163,221.813,166.746,223.596,184.179,144.363,129.767,132.646,113.271,125.504,166.917,165.804,147.663,170.896,95.788,232.983,122.967,183.588,138.400,198.158,83.246,146.217,186.667,123.454,139.317,164.413,183.471,120.289
23,142.400,94.700,105.579,103.279,185.913,182.154,165.863,158.946,137.121,310.438,140.392,205.863,141.942,164.992,196.254,163.433,196.642,181.225,155.158,201.392,204.671,121.779,186.629,149.796,132.033,152.667,222.767,154.225,125.129,75.971,131.413,271.308,209.763,166.913,222.267,159.179,134.854,159.204,108.633,131.196,111.829,144.958,169.779,158.046,161.917,94.933,248.496,133.325,178.313,123.333,186.475,116.308,160.817,194.083,111.742,154.967,166.692,187.233,137.467
24,122.500,102.000,141.663,128.488,179.804,150.946,132.158,149.383,127.788,327.983,146.258,206.192,165.917,171.550,171.175,134.921,166.283,140.429,179.971,207.121,200.313,139.358,170.242,137.325,157.992,160.742,211.867,140.779,97.396,115.696,134.529,272.350,216.425,131.325,185.796,189.429,105.479,160.050,112.954,118.975,119.108,148.908,167.896,143.692,156.508,105.109,245.875,133.058,190.504,123.613,177.629,122.583,161.408,194.325,124.813,161.854,169.242,199.846,124.111
25,127.100,120.700,125.746,126.225,195.492,179.817,141.054,169.479,145.238,327.175,141.192,197.467,180.450,167.592,164.663,133.829,174.442,154.721,184.708,201.479,202.788,133.263,152.350,129.450,176.458,167.842,217.129,136.683,110.350,111.125,145.079,265.292,243.654,116.108,185.471,194.350,127.829,111.046,94.229,95.979,138.583,175.508,164.250,148.175,136.921,112.933,220.729,133.204,170.146,116.779,173.813,146.971,156.767,183.775,118.125,169.592,169.804,199.379,122.811
26,147.300,125.000,128.246,148.167,146.058,127.271,142.913,126.121,175.867,311.804,160.858,208.438,165.413,169.829,188.975,156.367,206.146,168.383,201.142,213.633,195.883,121.546,156.688,144.625,149.204,160.367,212.433,110.621,98.858,135.308,139.713,242.963,258.667,126.775,204.283,196.096,122.729,139.650,89.154,119.738,155.246,155.267,173.371,157.317,168.704,113.363,214.000,126.163,139.308,107.200,177.700,150.096,146.958,178.758,120.375,135.804,171.233,204.925,126.539
27,167.300,115.400,120.342,129.575,126.404,183.317,167.188,185.738,157.821,319.713,146.050,196.113,165.596,185.546,140.329,138.333,204.925,175.729,203.433,195.671,195.967,120.042,133.517,141.304,152.267,159.063,207.633,100.242,112.100,128.725,133.658,242.921,252.550,151.171,220.379,206.708,114.446,111.233,96.842,135.363,145.829,155.279,164.642,112.921,188.867,102.421,248.675,142.971,149.158,111.500,190.508,142.979,150.542,188.404,102.108,147.250,176.258,209.213,105.922
28,160.100,126.800,107.033,132.554,204.850,185.488,186.504,176.925,114.467,304.796,157.525,184.646,162.196,189.892,113.408,155.325,193.288,170.104,178.471,169.863,196.588,124.950,132.638,136.096,141.108,153.150,214.988,117.633,121.750,133.083,135.300,208.771,248.150,163.879,221.338,212.867,110.054,126.433,132.588,138.621,142.138,149.296,140.992,145.046,164.254,109.613,248.804,147.983,131.288,138.317,181.071,146.450,132.729,187.471,113.929,150.742,164.788,204.442,121.661
29,182.200,119.600,102.350,117.150,207.354,151.921,160.783,199.075,141.142,314.454,166.225,194.163,167.121,141.325,147.438,185.888,203.946,175.133,189.625,181.954,195.100,129.271,145.175,93.383,136.279,154.492,217.271,135.179,101.204,138.571,122.000,230.654,236.842,166.225,224.829,216.500,109.446,154.571,133.229,126.975,137.392,136.392,165.300,130.425,155.033,101.871,215.408,123.542,123.508,130.158,201.054,146.667,126.354,195.442,124.358,152.758,183.579,183.042,139.078
30,228.000,106.700,111.221,121.750,171.725,149.513,132.983,159.621,176.438,293.042,161.050,218.733,160.204,152.229,195.142,190.404,189.263,165.375,162.075,176.542,194.929,126.413,142.383,123.404,121.292,154.608,218.275,108.271,105.467,117.008,114.313,246.808,256.683,165.546,208.963,187.446,123.967,159.858,118.154,127.717,113.183,150.967,164.246,132.417,152.796,109.692,219.567,115.517,141.588,105.904,204.779,164.867,130.492,191.063,129.000,150.129,176.204,180.000,152.667
31,245.100,105.600,169.758,133.954,175.888,143.300,118.225,169.546,129.942,269.671,176.838,210.017,160.538,180.271,191.879,179.629,167.517,145.975,168.542,176.008,207.613,126.467,119.042,131.446,161.017,162.558,202.742,134.050,95.850,144.946,131.525,261.342,285.504,165.763,197.175,195.496,111.804,160.304,133.721,132.117,119.696,161.417,166.438,112.117,146.129,97.283,213.638,110.446,135.825,109.429,211.929,154.396,151.821,191.546,142.817,152.079,163.763,181.217,159.061
32,223.000,116.900,147.413,139.283,174.179,128.629,170.117,158.421,160.279,241.288,152.979,214.292,156.338,188.558,177.283,166.717,167.400,154.775,190.675,190.683,207.879,131.163,121.392,142.796,182.179,179.079,207.988,136.329,112.979,150.196,151.792,239.175,252.688,151.746,203.700,207.096,114.554,153.579,155.254,116.725,142.417,177.558,149.871,93.354,125.392,107.492,216.617,112.942,127.479,124.300,222.446,151.550,149.492,201.375,124.538,136.642,136.850,185.696,143.333
33,233.500,130.900,124.417,133.175,175.654,114.658,194.813,145.367,150.763,284.750,143.317,196.200,162.338,182.583,176.808,134.750,191.138,158.192,193.850,217.804,214.075,124.700,135.450,157.896,180.746,172.275,190.317,109.308,120.729,160.938,166.804,265.133,261.800,185.767,210.213,206.375,99.946,137.450,177.396,133.750,135.908,166.942,142.821,137.763,103.821,96.517,200.825,119.929,128.054,105.033,213.221,151.350,147.558,213.742,124.279,128.867,143.379,187.429,152.100
34,215.400,132.200,120.775,115.354,172.596,137.154,207.083,165.346,132.779,291.963,122.642,206.646,169.100,178.654,156.458,91.513,213.475,152.471,213.696,206.496,202.263,127.413,135.579,162.696,199.075,151.371,160.646,108.792,120.138,158.767,184.008,248.975,260.592,188.521,227.250,203.079,111.813,116.667,155.238,119.529,140.683,149.583,151.829,110.163,119.863,104.029,204.608,137.117,121.267,96.946,197.133,144.896,154.554,194.917,114.813,148.567,156.617,181.650,134.222
35,200.400,122.500,110.583,112.025,201.829,127.000,189.704,159.996,114.413,269.967,178.204,216.046,159.908,140.042,126.475,113.613,215.254,171.742,204.788,204.304,204.517,139.250,129.067,144.317,191.925,141.954,160.038,113.438,129.525,154.092,164.625,237.292,268.817,176.396,236.700,203.342,99.458,132.529,144.863,132.825,142.158,128.325,105.313,136.292,124.800,92.546,201.650,125.771,133.092,102.342,217.958,142.954,153.900,194.088,130.683,179.508,147.396,176.279,129.139
36,210.000,120.400,101.358,116.954,183.688,149.979,204.533,164.267,132.933,260.188,180.267,226.167,123.450,151.954,150.733,130.521,189.250,200.217,203.658,172.583,209.050,141.417,125.279,166.963,157.654,139.263,164.825,124.625,114.708,159.746,131.625,202.675,272.229,194.838,226.971,182.138,101.246,153.383,121.121,133.529,156.046,157.238,124.071,123.892,116.304,94.946,160.733,104.975,108.204,102.263,218.946,113.021,152.096,231.188,147.746,170.950,135.500,168.575,127.850
37,221.800,102.800,113.313,135.096,182.392,143.921,172.813,147.633,148.500,252.992,168.688,191.767,115.863,138.321,146.817,158.446,189.413,181.388,207.554,196.750,212.463,151.075,142.704,152.396,178.871,141.242,187.983,119.750,95.533,155.429,130.263,194.817,277.838,183.221,204.033,167.042,106.392,154.708,120.508,129.954,136.954,178.942,125.550,112.363,99.375,98.704,152.579,130.288,121.758,129.246,212.721,106.254,156.608,238.958,138.346,175.913,154.717,165.988,103.294
38,216.100,112.100,133.792,136.013,180.329,117.667,137.538,133.850,187.196,250.825,187.638,198.146,130.625,156.613,160.529,154.004,156.350,185.375,209.921,203.354,196.358,162.958,109.913,134.375,178.313,139.342,174.200,120.683,88.946,149.213,196.471,215.971,271.267,183.475,221.588,172.846,127.225,147.383,139.067,126.975,149.271,177.346,117.888,121.850,106.192,97.296,158.392,119.375,147.596,135.529,223.933,103.417,146.592,234.000,112.713,193.504,127.342,168.692,113.083
39,217.500,110.200,140.992,134.708,180.250,86.713,126.350,158.958,145.133,236.892,158.129,209.404,143.046,156.954,160.967,139.779,182.800,163.033,226.196,188.275,198.708,157.867,117.983,117.933,166.154,178.046,186.008,115.983,99.079,160.392,165.813,305.733,263.200,165.583,218.942,172.292,118.900,156.417,133.750,107.929,140.079,150.108,149.196,124.596,97.658,104.550,200.146,136.363,154.367,131.513,229.546,130.488,163.029,251.358,108.388,224.029,141.621,167.542,113.056
40,229.500,113.800,128.000,132.392,126.521,109.508,157.875,171.771,124.208,254.113,124.054,193.988,130.046,170.533,167.396,131.675,190.004,194.600,212.454,201.188,200.171,158.517,109.421,124.425,159.067,187.400,165.167,101.333,109.746,157.346,156.792,308.904,277.250,180.671,218.167,162.321,138.488,147.129,114.575,104.283,159.700,166.779,122.583,120.079,110.617,118.275,222.238,123.017,161.671,104.329,223.842,112.646,181.771,256.558,125.150,204.150,156.363,151.475,131.144
41,211.200,114.600,131.900,137.746,132.996,126.613,172.896,177.575,127.492,243.967,160.375,187.742,122.425,165.079,140.279,115.788,217.513,195.813,196.933,212.646,200.275,171.296,140.838,138.171,135.542,151.658,175.883,106.404,108.813,142.742,173.896,305.592,269.050,209.296,229.554,166.333,126.288,114.754,100.792,119.717,157.738,178.333,141.867,81.971,125.583,117.721,213.163,132.433,144.625,91.896,234.954,146.050,197.721,254.350,118.371,192.750,161.946,143.013,141.767
42,229.700,131.400,127.742,122.400,151.550,154.163,179.933,168.750,121.079,221.600,166.292,211.875,108.525,159.600,121.279,114.800,197.358,203.129,189.129,204.654,204.254,188.338,133.775,120.171,120.096,133.783,181.904,107.592,102.488,136.983,165.838,293.892,225.583,209.817,207.375,202.483,114.125,120.433,120.942,128.217,146.958,131.192,132.983,100.763,146.583,107.817,218.529,122.892,124.325,104.688,255.013,160.375,209.538,264.396,119.917,191.425,168.813,152.567,126.439
43,241.600,117.100,121.842,117.246,156.408,104.083,161.529,156.508,105.925,227.692,169.321,201.204,106.088,168.525,151.600,147.175,181.588,187.600,163.433,199.029,190.350,172.008,128.146,112.083,115.671,163.400,198.750,104.867,116.808,136.183,143.175,281.342,265.246,198.633,209.154,193.283,109.496,169.054,110.371,118.613,144.275,169.300,131.613,133.058,151.475,102.204,219.246,130.879,120.129,89.708,255.846,148.546,218.054,259.492,132.842,178.208,167.571,163.638,127.561
44,225.500,100.000,120.008,129.333,187.038,141.733,169.038,88.550,167.233,206.142,166.242,210.883,85.063,147.625,164.100,155.567,150.992,173.933,180.854,201.313,187.592,175.879,137.850,103.025,134.204,181.683,194.683,108.546,94.171,116.454,178.233,334.975,251.692,194.996,219.258,185.513,125.650,149.004,120.471,141.996,112.138,183.779,144.329,148.804,114.258,97.042,189.196,113.392,119.225,87.329,251.071,143.246,235.050,245.379,128.096,196.896,167.950,172.450,107.189
45,196.000,104.700,119.292,135.296,187.713,141.942,160.783,152.033,148.479,214.779,175.763,193.554,115.438,163.438,170.508,171.117,131.196,152.700,165.767,211.021,198.050,182.708,145.300,122.750,145.379,187.488,193.767,108.854,78.483,127.967,176.983,312.238,244.238,176.463,210.267,152.742,136.871,156.025,115.717,121.138,117.250,164.533,158.625,153.608,110.871,92.475,207.271,131.596,110.925,112.113,247.500,134.354,180.150,248.708,135.821,182.758,179.213,181.533,110.322
46,147.500,121.400,139.104,134.238,196.046,116.588,172.638,181.333,161.254,205.067,171.400,209.642,121.467,190.946,154.554,173.329,151.433,129.750,207.663,202.117,190.383,172.375,118.750,117.921,142.200,185.458,182.825,106.929,110.613,130.329,181.129,293.279,246.717,165.200,188.767,179.154,127.163,133.375,97.729,92.654,153.292,187.475,142.692,146.979,98.096,90.354,227.488,141.288,156.338,117.921,253.221,141.542,179.050,233.867,111.967,184.421,182.404,177.854,117.067
47,166.200,126.400,126.946,136.696,139.200,118.883,207.188,159.350,125.942,180.592,165.863,185.083,119.729,171.829,190.488,163.225,184.729,160.438,185.338,183.688,193.654,145.638,133.204,127.396,143.754,219.263,174.829,94.750,139.238,125.567,193.800,351.375,253.329,180.700,183.104,210.383,127.204,125.296,101.221,110.450,154.613,161.204,124.029,119.171,108.558,98.129,228.275,138.750,133.588,97.496,256.250,166.438,192.838,239.033,127.904,155.558,177.317,168.467,130.178
48,215.300,119.200,111.896,138.713,154.075,141.771,196.913,182.192,115.017,203.821,157.504,188.050,106.117,181.283,132.829,124.071,165.733,191.300,184.417,169.763,192.604,163.883,135.308,132.313,146.638,220.833,180.667,112.492,158.363,120.967,171.504,340.004,244.696,189.325,191.196,203.071,131.292,110.279,102.171,118.900,158.125,176.804,124.671,110.104,113.379,108.500,227.246,124.713,132.721,113.317,239.296,203.450,191.267,235.283,124.792,183.013,170.321,170.679,122.878
49,213.500,111.200,102.033,120.921,168.479,142.125,210.358,172.050,104.363,203.246,176.763,226.392,130.579,158.608,131.233,117.263,200.629,214.863,204.950,209.400,205.700,177.867,123.008,141.242,127.838,175.758,166.371,131.433,152.179,131.892,156.775,373.421,265.863,196.571,220.279,176.471,82.979,114.654,109.892,103.046,156.429,168.238,115.438,126.892,92.458,108.200,227.763,119.429,125.888,110.079,256.188,167.896,218.042,255.488,129.367,195.463,177.204,182.246,121.144
50,208.600,113.600,103.225,103.679,214.904,145.571,224.804,177.363,145.646,192.846,176.233,227.050,113.842,144.133,127.517,135.954,206.942,265.221,215.500,210.292,187.533,178.079,130.025,136.904,113.783,177.921,169.575,127.638,153.804,124.279,134.833,364.596,265.346,190.204,197.354,153.296,124.492,131.542,105.638,127.842,140.925,160.946,124.142,147.217,106.217,112.317,209.158,115.850,140.767,106.533,250.721,174.288,230.321,240.192,131.004,159.392,167.333,176.454,120.900
51,201.600,88.000,110.571,147.313,196.000,150.167,210.213,196.063,148.258,205.775,174.475,216.771,96.158,144.867,162.521,138.163,217.117,277.421,231.879,173.025,208.371,189.125,132.771,109.283,113.225,200.004,173.358,140.483,133.163,110.442,149.942,379.846,300.629,198.750,207.117,140.171,99.933,136.808,99.258,135.213,105.013,170.475,130.742,146.188,121.163,105.208,205.067,120.600,159.383,104.838,247.067,159.592,229.204,242.338,113.583,167.025,175.133,156.213,121.561
52,196.600,102.900,115.150,183.779,202.550,146.600,189.683,220.800,144.258,223.567,175.521,206.254,98.758,162.908,162.667,154.654,208.438,191.258,232.575,181.296,196.054,189.379,131.525,109.496,118.463,194.138,196.054,141.863,111.488,113.204,163.925,351.608,263.642,195.167,187.683,120.788,97.971,124.408,110.717,116.500,101.904,157.704,123.700,122.867,115.471,105.621,194.121,124.967,143.588,106.746,232.342,201.471,226.296,225.346,116.550,176.325,134.433,154.933,135.706
53,209.500,103.500,136.825,197.667,187.633,118.642,169.592,200.829,135.775,198.221,218.350,184.871,133.208,163.488,157.146,149.725,198.008,275.192,255.558,210.363,182.433,165.546,125.275,128.217,115.413,198.233,196.004,139.408,130.196,135.554,199.396,365.521,313.375,164.554,193.021,157.863,121.758,118.454,89.633,92.842,113.317,157.088,107.225,135.925,122.175,119.642,174.146,130.821,124.125,105.883,223.679,196.854,249.338,225.908,140.958,146.179,117.275,172.613,126.739
54,213.900,111.500,125.783,192.450,159.700,133.563,192.421,189.721,132.200,247.342,187.227,182.329,135.075,171.492,172.854,122.308,185.392,285.838,303.888,207.479,187.383,163.221,137.842,132.154,118.183,173.513,206.896,122.725,127.667,125.121,205.929,357.708,301.958,170.471,198.400,158.200,146.417,108.092,99.833,119.513,139.829,165.825,110.033,99.008,106.929,124.338,195.125,148.263,105.788,101.742,230.221,162.396,263.863,223.892,142.617,139.104,121.121,178.742,123.778
55,205.700,127.100,131.104,175.708,151.421,148.863,200.242,214.254,118.246,218.079,178.921,212.533,128.817,164.629,147.888,108.629,210.942,297.863,266.925,205.996,156.463,193.558,145.208,130.133,126.625,161.621,184.458,131.904,147.304,150.471,191.542,363.667,277.583,200.417,227.713,167.604,125.392,112.258,111.338,115.117,107.096,178.696,119.783,108.504,111.771,112.396,198.317,156.413,95.888,106.808,239.204,171.442,253.696,231.629,144.033,130.929,148.633,166.971,139.794
56,189.100,126.400,121.521,174.492,145.946,123.175,194.883,201.050,100.446,194.688,196.942,225.725,131.817,170.717,134.996,121.604,203.433,279.450,258.446,204.225,182.029,244.713,148.863,124.063,115.029,162.738,178.608,124.825,146.354,123.988,171.204,390.829,274.554,190.504,223.925,187.250,100.904,144.308,118.683,128.271,110.896,158.333,108.850,110.429,134.163,93.879,198.546,120.488,113.708,106.579,218.417,178.408,244.054,203.133,121.938,145.163,139.425,163.996,136.633
