day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
267,114.600,97.700,106.538,141.008,123.463,109.971,100.663,118.783,101.400,138.725,131.100,155.263,111.142,122.708,113.529,102.654,123.146,119.792,117.713,110.079,123.658,123.763,130.825,130.167,99.171,90.704,117.946,86.696,96.579,80.696,86.400,142.592,199.954,96.229,153.846,113.092,88.475,113.271,108.254,124.838,95.804,81.092,80.408,95.450,87.696,87.875,97.479,113.204,95.900,123.204,120.788,84.258,80.642,95.121,74.658,93.596,104.967,90.756,
268,114.600,98.000,104.813,155.738,92.638,106.908,108.179,100.796,102.354,146.154,131.975,136.558,97.888,125.904,93.729,103.113,113.213,103.217,106.688,107.054,133.708,120.188,110.863,112.517,107.017,113.433,132.654,104.788,76.067,70.792,107.750,134.650,192.992,96.183,126.267,115.504,105.775,114.750,100.154,133.375,77.854,80.496,79.063,99.604,102.704,90.054,100.058,101.404,101.983,97.358,104.996,85.713,82.283,118.667,87.938,89.213,104.642,89.750,
269,100.300,101.500,111.604,134.133,119.813,93.504,102.792,117.813,115.033,158.388,120.517,142.117,105.942,154.146,93.733,101.838,109.917,99.450,103.571,124.592,134.925,126.167,100.904,93.183,100.679,115.808,128.458,118.358,74.708,72.763,108.042,135.563,172.875,123.083,131.200,111.371,105.904,125.871,116.567,118.904,86.400,83.554,94.417,91.858,95.292,76.146,125.850,100.329,105.817,89.879,94.438,91.246,121.246,111.096,75.071,99.617,80.429,109.083,
270,110.800,91.000,126.250,167.475,104.496,101.650,104.171,155.604,115.538,159.333,107.050,134.258,115.579,146.554,108.625,116.525,95.288,101.550,111.750,125.908,131.931,117.067,101.138,112.417,108.071,125.325,123.775,102.258,99.100,83.163,107.025,146.429,172.950,114.325,129.838,125.013,96.729,123.054,126.733,113.033,113.721,107.446,86.242,106.754,77.442,100.458,114.663,108.200,96.638,93.888,78.763,113.313,119.621,101.304,78.771,94.779,86.021,109.761,
271,109.500,117.000,89.308,151.913,98.225,108.767,104.646,132.158,104.821,140.242,99.283,127.846,115.263,139.025,97.442,115.208,95.729,119.033,127.617,130.133,114.900,98.025,97.783,125.200,113.392,106.708,111.450,78.679,105.129,87.942,110.333,144.300,169.363,92.204,152.467,111.929,82.388,97.146,104.263,120.529,81.688,115.250,74.563,82.225,78.700,103.671,118.779,96.475,103.292,90.033,95.867,108.413,123.183,95.783,92.438,82.188,98.263,120.878,
272,108.100,103.600,110.329,132.833,107.779,94.529,101.308,104.746,99.754,112.742,116.342,141.588,119.046,124.433,80.913,115.850,105.954,123.675,131.567,121.842,101.004,93.300,120.521,100.692,128.208,117.950,87.679,88.917,109.104,83.517,113.038,114.554,144.350,110.079,125.871,99.942,81.163,92.050,91.283,124.571,101.933,85.063,73.288,82.029,92.300,103.971,111.050,111.996,106.213,86.167,120.613,102.617,120.967,82.800,85.854,119.104,87.488,106.833,
273,105.600,108.200,103.071,94.200,120.883,114.988,91.050,112.904,89.738,145.142,136.463,142.246,119.175,137.342,80.654,115.967,112.558,119.188,124.717,119.971,106.796,111.888,121.121,117.571,116.017,97.733,109.046,102.779,118.325,92.154,130.675,100.571,137.392,126.513,139.321,101.963,78.713,89.054,100.042,116.850,114.454,78.383,72.246,93.921,83.925,110.083,109.500,112.958,102.350,77.296,106.913,93.325,88.792,90.588,101.342,120.904,85.392,110.156,
274,108.100,106.100,111.838,91.746,119.963,119.700,85.700,110.154,116.438,148.025,122.700,140.913,106.350,128.625,86.129,108.488,122.863,114.554,111.800,114.263,128.667,121.671,143.763,116.350,100.267,111.442,118.133,113.246,120.600,72.292,100.875,119.150,172.650,106.313,134.929,99.975,92.021,87.050,82.871,119.708,99.567,79.583,71.951,84.071,93.196,113.729,92.088,93.592,126.858,79.579,95.729,83.046,84.192,82.954,102.179,125.825,88.004,82.706,
275,119.000,104.700,119.708,112.704,105.642,95.117,88.575,100.325,128.133,143.225,88.188,135.588,92.763,125.792,103.496,113.721,125.996,104.071,107.279,96.804,138.433,113.233,117.363,117.142,103.292,102.975,107.938,105.267,100.500,80.713,111.967,131.371,160.846,119.117,117.500,110.992,100.654,90.913,120.192,96.388,79.075,91.283,83.204,74.304,85.075,99.075,88.492,86.671,130.950,92.358,81.217,88.542,107.975,78.321,96.775,98.221,83.888,81.144,
276,105.000,92.200,102.850,143.075,127.513,84.667,88.900,111.100,123.375,142.817,90.325,121.167,115.592,128.729,108.179,117.267,108.196,92.496,106.883,133.054,132.588,124.742,107.400,100.296,110.496,115.042,120.238,92.388,83.317,90.696,121.004,127.146,187.013,103.463,111.025,105.333,91.650,90.800,102.221,89.415,92.833,94.758,82.721,80.619,78.804,87.563,100.633,88.188,114.908,102.554,81.358,78.858,113.983,86.633,101.071,98.792,83.271,98.300,
