day,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,,173.179,182.967,186.500,159.642,152.258,349.017,178.954,219.388,143.200,157.104,177.838,152.179,195.875,190.863,206.425,169.671,229.825,147.488,184.192,168.854,142.192,144.163,219.221,157.338,120.050,110.592,132.258,294.971,225.158,181.467,228.263,194.192,149.363,129.621,119.000,124.825,129.083,167.046,168.608,139.900,164.788,97.788,226.338,116.838,193.425,135.504,203.221,87.308,145.371,186.458,128.250,143.321,159.133,182.058,117.461
23,,197.954,221.092,186.246,168.871,155.717,359.258,177.550,219.267,124.971,175.925,213.317,172.121,198.992,169.875,158.067,175.054,235.108,130.138,196.179,147.554,147.017,152.617,222.546,154.221,132.333,77.125,140.667,277.583,212.179,181.321,235.150,163.192,135.546,169.175,108.396,121.058,123.313,184.417,168.979,168.304,161.742,96.942,252.413,143.921,173.908,127.117,188.446,119.208,158.188,196.479,104.708,151.767,162.575,182.263,147.250
24,,212.867,204.350,188.704,185.063,153.650,341.350,141.688,195.967,162.108,189.808,217.854,152.292,195.750,143.471,181.963,211.667,227.071,155.058,169.979,146.792,166.421,176.433,226.558,145.192,97.471,113.938,134.567,282.779,223.288,149.888,214.692,203.196,116.208,169.629,118.317,120.417,124.129,153.367,171.846,151.167,156.004,111.029,253.150,143.096,161.367,128.325,173.392,130.363,167.913,199.688,126.979,157.846,168.329,189.188,123.311
25,,221.075,202.021,176.917,199.275,130.396,354.875,139.354,205.258,214.567,174.583,208.138,132.758,165.296,148.696,174.342,185.804,246.508,145.938,145.113,152.233,176.733,162.608,233.271,144.592,115.888,118.788,144.879,276.696,246.004,109.933,208.517,197.008,124.071,122.525,98.775,97.296,138.588,170.858,173.379,144.796,143.867,123.117,246.050,127.450,173.904,121.883,173.358,157.200,155.342,188.875,119.946,177.017,168.521,194.388,129.617
26,,162.900,217.058,144.738,137.892,147.813,362.404,167.246,229.504,178.933,165.113,215.025,162.058,194.425,166.713,206.821,211.971,192.788,130.433,160.121,152.871,176.396,182.963,210.683,112.817,115.388,134.738,147.992,254.638,259.704,130.133,213.088,194.133,122.688,146.054,80.129,126.804,157.546,168.771,184.279,176.971,166.650,110.983,224.617,124.863,138.871,133.550,177.521,154.533,147.167,186.229,125.317,143.104,166.283,194.988,125.450
27,,138.471,185.092,147.788,184.738,159.642,338.454,175.229,193.042,159.617,189.929,137.096,174.946,211.196,188.942,212.538,220.092,209.925,127.804,156.225,141.850,151.133,145.396,214.829,102.471,110.675,140.350,151.017,245.575,268.692,162.421,217.704,218.008,118.629,115.404,97.050,136.867,154.842,160.950,170.171,115.679,194.575,103.688,246.317,146.850,139.838,117.796,190.604,141.408,149.796,188.171,109.158,147.908,182.371,192.833,117.844
28,,143.583,224.046,165.879,188.900,134.196,318.454,154.833,182.633,165.329,189.463,78.329,161.604,198.438,195.067,205.121,217.796,199.100,124.838,148.125,110.833,109.317,148.354,208.725,117.779,126.913,142.117,132.738,214.725,253.525,182.442,225.358,215.617,117.100,139.029,144.813,144.858,144.975,148.979,147.342,147.813,171.421,112.213,250.775,145.217,141.942,131.442,189.154,157.400,136.771,186.717,115.167,164.063,165.888,195.421,126.972
29,,196.713,175.129,170.296,184.979,159.633,322.308,174.638,207.867,165.863,165.800,147.167,226.146,200.175,199.875,186.238,186.246,211.346,139.308,131.888,106.408,117.554,159.046,249.608,105.263,106.392,144.442,127.946,254.554,247.438,178.042,223.329,227.342,109.042,160.933,145.800,132.342,141.846,123.679,178.933,131.121,154.250,106.988,217.879,129.504,123.592,107.667,192.725,147.713,134.663,190.613,129.925,164.892,184.000,181.808,138.256
30,,230.229,159.300,188.525,165.283,176.404,317.367,168.629,207.971,133.871,172.875,194.079,211.583,201.704,200.629,160.050,193.021,179.813,128.650,155.417,112.458,140.621,171.738,208.383,124.996,110.842,120.696,138.275,254.467,287.813,179.558,220.221,214.763,133.204,164.042,122.275,127.967,115.104,171.413,152.050,135.217,164.363,108.313,185.792,118.288,137.183,106.188,200.617,165.825,136.600,186.046,134.483,153.208,173.771,178.763,157.661
31,,171.229,104.708,177.304,192.175,129.125,264.704,192.646,225.421,183.392,190.908,187.408,189.667,194.042,191.654,157.771,192.879,188.000,134.896,132.804,137.150,160.671,165.000,208.171,126.013,97.250,148.817,162.992,253.300,362.525,180.288,211.525,193.254,114.771,168.413,135.663,158.775,123.938,169.500,159.146,112.975,140.238,95.996,230.825,119.938,156.921,110.742,202.621,169.738,146.167,198.904,138.600,151.508,165.208,169.854,152.861
