Row Labels,Count of tag_code
Hood_River,1
Imnaha_River,32
John_Day_River,944
Salmon_River,45
Tucannon_River,6
Umatilla_River,1
loss,16643
Asotin_Creek,112
Clearwater_River,1428
Deschutes_River,642
Entiat_River,109
Fifteenmile_Creek,269
Grande_Ronde_River,1725
Hood_River,2439
Imnaha_River,1130
John_Day_River,955
Methow_River,1990
Okanogan_River,280
Salmon_River,2199
Tucannon_River,804
Umatilla_River,684
Walla_Walla_River,621
Wenatchee_River,1120
Yakima_River,136
"mainstem, BON to MCN",32
Asotin_Creek,3
Clearwater_River,5
Fifteenmile_Creek,1
Grande_Ronde_River,9
Imnaha_River,8
Salmon_River,5
Tucannon_River,1
"mainstem, MCN to ICH or PRA",48045
Asotin_Creek,504
Clearwater_River,5780
Deschutes_River,8
Entiat_River,424
Fifteenmile_Creek,53
Grande_Ronde_River,5636
Hood_River,4
Imnaha_River,4396
John_Day_River,2092
Methow_River,6492
Okanogan_River,969
Salmon_River,10066
Tucannon_River,3219
Umatilla_River,937
Walla_Walla_River,2754
Wenatchee_River,4138
Yakima_River,573
"mainstem, mouth to BON",14765
Asotin_Creek,110
Clearwater_River,975
Deschutes_River,214
Entiat_River,109
Fifteenmile_Creek,109
Grande_Ronde_River,1517
Hood_River,2862
Imnaha_River,1138
John_Day_River,594
Methow_River,1366
Okanogan_River,212
Salmon_River,2507
Tucannon_River,773
Umatilla_River,547
Walla_Walla_River,678
Wenatchee_River,941
