Row Labels,Count of tag_code
Yakima_River,113
Umatilla River,797
Asotin_Creek,1
Clearwater_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,4
Imnaha_River,1
John_Day_River,71
Salmon_River,6
Tucannon_River,20
Umatilla_River,692
"mainstem, ICH to LGR",36668
loss,2647
Asotin_Creek,42
Clearwater_River,251
Fifteenmile_Creek,2
Grande_Ronde_River,267
Imnaha_River,283
John_Day_River,140
Salmon_River,514
Tucannon_River,441
Umatilla_River,50
Walla_Walla_River,653
Yakima_River,4
"mainstem, ICH to LGR",28
Clearwater_River,4
Grande_Ronde_River,1
Imnaha_River,5
Salmon_River,7
Umatilla_River,1
Walla_Walla_River,10
"mainstem, MCN to ICH or PRA",2609
Asotin_Creek,42
Clearwater_River,209
Deschutes_River,1
Fifteenmile_Creek,2
Grande_Ronde_River,271
Imnaha_River,362
John_Day_River,161
Methow_River,1
Salmon_River,594
Tucannon_River,244
