"","tag_code","event_type_name","event_site_name","start_time","end_time","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"17752","384.3B23AA5F03","Observation","GOA - Little Goose Fish Ladder",2016-09-13 23:57:43,2016-09-13 23:57:45,"02","01","Counting Window","Counting Window",100,NA
"17753","384.3B23AA5F03","Observation","GRA - Lower Granite Dam Adult",2017-02-18 00:35:33,2017-02-18 22:38:13,"B3","B2","Ladder Entrance","Ladder Entrance",150,"aborted"
"17754","384.3B23AA5F03","Observation","GOA - Little Goose Fish Ladder",2017-03-05 05:25:18,2017-03-05 05:25:20,"02","01","Counting Window","Counting Window",100,NA
"17755","384.3B23AA5F03","Observation","GOA - Little Goose Fish Ladder",2017-03-06 05:18:41,2017-03-06 05:18:45,"01","02","Counting Window","Counting Window",100,NA
"17756","384.3B23AA5F03","Observation","PRV - Walla Walla R at Pierce RV Prk",2017-03-13 12:37:08,2017-03-13 12:37:08,"A1","A1","ARRAY","ARRAY",100,NA
"19983","384.3B23AD80F5","Observation","BO2-BO3-BO4",2015-07-21 12:32:47,2015-07-21 22:02:19,"18","01","WEIR 34","VERTICAL SLOT DETECTORS",100,NA
"19984","384.3B23AD80F5","Observation","The Dalles Adult Fishways (combined)",2015-10-01 11:47:32,2015-10-01 11:47:42,"02","01","Counting Window","Counting Window",100,NA
"19985","384.3B23AD80F5","Observation","MC1 - McNary Oregon Shore Ladder",2015-10-08 01:21:45,2015-10-08 03:33:56,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"19986","384.3B23AD80F5","Observation","ICH2 - Ice Harbor Dam South Ladder",2015-10-17 00:15:59,2015-10-17 00:24:44,"07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"19987","384.3B23AD80F5","Observation","LMA - Lower Monumental Adult Ladders",2015-10-25 21:35:11,2015-10-25 21:35:15,"02","01","Left Ladder","Left Ladder",100,NA
"19988","384.3B23AD80F5","Observation","GOA - Little Goose Fish Ladder",2015-10-28 03:25:40,2015-10-28 03:25:42,"02","01","Counting Window","Counting Window",100,NA
"19989","384.3B23AD80F5","Observation","GRA - Lower Granite Dam Adult",2015-10-31 00:09:54,2015-10-31 01:33:25,"16","02","ISO WEST","WEIR 733",140,NA
"19990","384.3B23AD80F5","Observation","GRA - Lower Granite Dam Adult",2016-02-24 09:47:25,2016-02-24 12:22:53,"A1","B4","Ladder Exit","Ladder Entrance",150,"descent"
"19991","384.3B23AD80F5","Observation","GOA - Little Goose Fish Ladder",2016-03-09 19:27:02,2016-03-09 19:27:08,"02","01","Counting Window","Counting Window",100,NA
"19992","384.3B23AD80F5","Observation","GOA - Little Goose Fish Ladder",2016-03-16 12:41:15,2016-03-16 12:42:53,"01","02","Counting Window","Counting Window",100,NA
"19993","384.3B23AD80F5","Observation","LMA - Lower Monumental Adult Ladders",2016-03-27 02:51:13,2016-03-27 02:51:19,"04","03","Right Ladder","Right Ladder",100,NA
"19994","384.3B23AD80F5","Observation","LTR - Lower Tucannon River",2016-03-29 08:32:49,2016-03-29 08:33:51,"04","02","MIDDLE RIGHT ANTENNA","UPSTREAM RIGHT ANTENNA",160,NA
"19995","384.3B23AD80F5","Observation","MTR - Middle Tucannon River",2016-03-30 17:16:09,2016-03-30 17:18:30,"05","01","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"24730","3D9.1BF15D8147","Observation","BO2-BO3-BO4",2005-08-30 02:08:08,2005-08-30 04:09:50,"17","01","WEIR 34","VERTICAL SLOT DETECTORS",100,NA
"24731","3D9.1BF15D8147","Observation","MC1 - McNary Oregon Shore Ladder",2005-09-19 06:39:15,2005-09-19 09:20:24,"11","01","WEIR 279","COUNTING WINDOW",100,NA
"24732","3D9.1BF15D8147","Observation","PRA1 - Priest Rapids Adult West Ladder",2005-09-24 23:20:00,2005-09-24 23:20:29,"07","05","RIGHT LADDER WEIR 5","RIGHT LADDER WEIR 3",100,NA
"24733","3D9.1BF15D8147","Observation","WEA - Wells Dam, DCPUD Adult Ladders",2005-10-04 02:29:47,2005-10-04 02:29:47,"0B","0B","WEST TRAP","WEST TRAP",110,"trapped"
