"","tag_code_2","natal_origin","rear_type"
"432","384.36F2B35A64",10,2
"433","384.36F2B35B87",10,2
"434","384.36F2B35B8D",10,2
"435","384.36F2B35C19",10,2
"436","384.36F2B35D0F",10,2
"437","384.36F2B35D35",10,2
"438","384.36F2B3616D",10,2
"439","384.36F2B36200",10,2
"440","384.36F2B364DB",10,2
"441","384.36F2B365BC",10,2
"442","384.36F2B365CE",10,2
"443","384.36F2B36661",10,2
"444","384.36F2B36740",10,2
"445","384.36F2B368F7",10,2
"446","384.36F2B36AD6",10,2
"447","384.36F2B36ADF",10,2
"448","384.36F2B36B65",10,2
"449","384.36F2B36B72",10,2
"450","384.36F2B36BAC",10,2
"451","384.36F2B36EB0",10,2
"452","384.36F2B36FA5",10,2
"453","384.36F2B36FE5",10,2
"454","384.36F2B36FE9",10,2
"455","384.36F2B442DB",2,1
"456","384.36F2B442F8",2,1
"457","384.36F2B483BC",10,2
"458","384.36F2B4855E",10,2
"459","384.36F2B48579",10,2
"460","384.36F2B48714",10,2
"461","384.36F2B487AE",10,2
"462","384.36F2B487E3",10,2
"463","384.36F2B487FB",10,2
"464","384.36F2B48819",10,2
"465","384.36F2B4887B",10,2
"466","384.36F2B48896",10,2
"467","384.36F2B48917",10,2
"468","384.36F2B48973",10,2
"469","384.36F2B489EC",10,2
"470","384.36F2B489F1",10,2
"471","384.36F2B48A39",10,2
"472","384.36F2B48A58",10,2
"473","384.36F2B48A7D",10,2
"474","384.36F2B48A9E",10,2
"475","384.36F2B48AEC",10,2
"476","384.36F2B48B05",10,2
"477","384.36F2B48B2C",10,2
"478","384.36F2B48B2E",10,2
"479","384.36F2B48BB3",10,2
"480","384.36F2B48BE9",10,2
"481","384.36F2B48C4D",10,2
"482","384.36F2B48D52",10,2
"483","384.36F2B48DBA",10,2
"484","384.36F2B48DBC",10,2
"485","384.36F2B48DD7",10,2
"486","384.36F2B48DEA",10,2
"487","384.36F2B48E23",10,2
"488","384.36F2B48E80",10,2
"489","384.36F2B48EA4",10,2
"490","384.36F2B48F17",10,2
"491","384.36F2B48F61",10,2
"492","384.36F2B48FA6",10,2
"493","384.36F2B48FE2",10,2
"494","384.36F2B490E5",10,2
"495","384.36F2B49123",10,2
"496","384.36F2B49138",10,2
"497","384.36F2B4913D",10,2
"498","384.36F2B49194",10,2
"499","384.36F2B49220",10,2
"500","384.36F2B49260",10,2
"501","384.36F2B49311",10,2
"502","384.36F2B4944D",10,2
"503","384.36F2B4945C",10,2
"504","384.36F2B4949F",10,2
"505","384.36F2B495D7",10,2
"506","384.36F2B49608",10,2
"507","384.36F2B49634",10,2
"508","384.36F2B49695",10,2
"509","384.36F2B49705",10,2
"510","384.36F2B49766",10,2
"511","384.36F2B49791",10,2
"512","384.36F2B497EA",10,2
"513","384.36F2B497F3",10,2
"514","384.36F2B49A76",10,2
"515","384.36F2B49C31",10,2
"516","384.36F2B49C65",10,2
"517","384.36F2B49C92",10,2
"518","384.36F2B49CA8",10,2
"519","384.36F2B49D34",10,2
"520","384.36F2B49F15",10,1
"521","384.36F2B49F31",10,1
"522","384.36F2B49F40",10,1
"523","384.36F2B49F74",10,1
"524","384.36F2B4A130",10,1
"525","384.36F2B4A316",10,1
"526","384.36F2B4A458",10,1
"527","384.36F2B4A488",10,1
"528","384.36F2B4B124",10,1
"529","384.36F2B4B166",10,1
"530","384.36F2B4BA69",10,1
"531","384.36F2B4BD31",10,1
"532","384.36F2B4BD66",10,1
"533","384.36F2B4BF0D",10,1
"534","384.36F2B4BF5D",10,1
"535","384.36F2B4D8D4",10,1
"536","384.36F2B4DA1F",10,1
"537","384.36F2B4DA6E",10,1
"538","384.36F2B4DBCC",10,1
"539","384.36F2B4E9CC",10,1
"540","384.36F2B4EA39",10,2
"541","384.36F2B4EA65",10,2
"542","384.36F2B4EA76",10,2
"543","384.36F2B4EB3C",10,2
"544","384.36F2B4EB6E",10,2
"545","384.36F2B4EBA1",10,2
"546","384.36F2B4EC05",10,2
"547","384.36F2B4EC19",10,2
"548","384.36F2B4EC26",10,2
"549","384.36F2B4ECC3",10,2
"550","384.36F2B4ECD4",10,2
"551","384.36F2B4ED58",10,2
"552","384.36F2B4EDC9",10,2
"553","384.36F2B4EE83",10,2
"554","384.36F2B4F407",10,2
"555","384.36F2B4F550",10,2
"556","384.36F2B4F651",10,2
"557","384.36F2B4F6E2",10,2
"558","384.36F2B4F797",10,2
"559","384.36F2B4F8C3",10,2
"560","384.36F2B4F997",10,2
"561","384.36F2B4F9A4",10,2
"562","384.36F2B4FCAB",10,2
"563","384.36F2B4FD46",10,2
"564","384.36F2B50030",10,2
"565","384.36F2B50052",10,2
"566","384.36F2B50053",10,2
"567","384.36F2B50539",10,2
"568","384.36F2B5A9DF",6,1
"569","384.36F2B5AA76",6,1
"570","384.3B23946D56",12,2
"571","384.3B2394735F",12,2
"572","384.3B239479E3",12,2
"573","384.3B23947BE7",12,2
"574","384.3B23947C7D",12,2
"575","384.3B23947D97",12,2
"576","384.3B23947DF9",12,2
"577","384.3B23947E22",12,2
"578","384.3B23948433",2,2
"579","384.3B239487BD",12,2
"580","384.3B239487CD",12,2
"581","384.3B23948826",12,2
"582","384.3B23948870",12,2
"583","384.3B23948899",12,2
"584","384.3B23948A2F",12,2
"585","384.3B23948A4A",12,2
"586","384.3B239495C2",12,2
"587","384.3B2394973E",12,2
"588","384.3B239498C0",12,2
"589","384.3B239498D9",12,2
"590","384.3B2394A27D",12,2
"591","384.3B2394A29F",12,2
"592","384.3B2394A2A7",12,2
"593","384.3B2394A34E",12,2
"594","384.3B2394A39A",12,2
"595","384.3B2394A3ED",12,2
"596","384.3B2394A49E",12,2
"597","384.3B2394A8F5",12,2
"598","384.3B2394AF7B",12,2
"599","384.3B2394AFA1",12,2
"600","384.3B2394BA4F",12,2
"601","384.3B2394BC46",12,2
"602","384.3B2394BC84",12,2
"603","384.3B2394BC93",12,2
"604","384.3B2394BD00",12,2
"605","384.3B2394BD56",12,2
"606","384.3B2394BD71",12,2
"607","384.3B2394BF96",12,2
"608","384.3B2394C9B2",12,2
"609","384.3B2394CB8C",12,2
"610","384.3B2394CBE1",12,2
"611","384.3B2394CE2E",12,2
"612","384.3B2394CE97",12,2
"613","384.3B2394D8FA",12,2
"614","384.3B2394D99D",12,2
"615","384.3B2394DA14",2,2
"616","384.3B2394E661",12,2
"617","384.3B2394E704",12,2
"618","384.3B2394E9C4",12,2
"619","384.3B2394E9ED",12,2
"620","384.3B2394EA0D",12,2
"621","384.3B2394F2B9",12,2
"622","384.3B2394F52D",12,2
"623","384.3B2394F597",12,2
"624","384.3B2394FC86",12,2
"625","384.3B2394FE4A",12,2
"626","384.3B2394FE73",12,2
"627","384.3B23950405",12,2
"628","384.3B2395114F",12,2
"629","384.3B23951933",12,2
"630","384.3B23951BF7",17,1
"631","384.3B23952586",12,2
"632","384.3B23954D88",12,2
"633","384.3B23955AB2",12,2
"634","384.3B2395644D",2,2
"635","384.3B23956A99",2,2
"636","384.3B23959051",12,2
"637","384.3B2395911F",12,2
"638","384.3B23959A61",12,2
"639","384.3B2395B04A",12,2
"640","384.3B2395B083",12,2
"641","384.3B2395B55C",12,2
"642","384.3B2395B86A",12,2
"643","384.3B2395B922",12,2
"644","384.3B2395BB59",12,2
"645","384.3B2395BB7F",12,2
"646","384.3B2395BC5F",12,2
"647","384.3B2395BDB3",12,2
"648","384.3B2395C545",2,2
"649","384.3B2395CB20",12,2
"650","384.3B2395CB67",12,2
"651","384.3B2395CDA6",12,2
"652","384.3B2395CDCA",12,2
"653","384.3B2395CE3D",12,2
"654","384.3B2395CEAD",12,2
"655","384.3B2395CEB2",12,2
"656","384.3B2395CF47",12,2
"657","384.3B2395CF5A",12,2
"658","384.3B2395CF78",12,2
"659","384.3B2395CFBE",12,2
"660","384.3B2395D012",12,2
"661","384.3B2395D0B7",12,2
"662","384.3B2395D0D8",12,2
"663","384.3B2395D126",12,2
"664","384.3B2395D396",2,2
"665","384.3B2395D880",12,2
"666","384.3B2395D94D",2,2
"667","384.3B2395DCBD",12,2
"668","384.3B2395DCC4",12,2
"669","384.3B2395DCDB",12,2
"670","384.3B2395DD96",12,2
"671","384.3B2395DD9A",12,2
"672","384.3B2395DE07",12,2
"673","384.3B2395E0BD",2,2
"674","384.3B2395E19F",12,2
"675","384.3B2395E8D5",2,2
"676","384.3B2395E97B",12,2
"677","384.3B2395E97F",12,2
"678","384.3B2395E984",12,2
"679","384.3B2395E9EB",12,2
"680","384.3B2395EA98",2,1
"681","384.3B2395EDCE",12,2
"682","384.3B2395EFD5",2,1
"683","384.3B2395EFF8",12,2
"684","384.3B2395F6C6",12,2
"685","384.3B2395F6DA",12,2
"686","384.3B2395F6EF",12,2
"687","384.3B2395F72A",12,2
