day,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11,,28.838,42.708,36.296,35.767,44.629,36.679,58.658,29.817,51.646,32.934,45.067,62.030,32.633,71.854,60.140,58.326,27.104,24.008,25.004,18.700,29.954,30.146,33.546,26.075,20.992,28.183,56.776,83.663,31.479,53.088,37.238,17.658,27.346,19.163,18.758,20.317,56.179,46.375,20.608,44.813,22.192,34.650,26.917,33.350,18.979,37.958,27.729,29.625,51.783,19.150,21.429,26.288,27.713,27.217
12,,28.371,46.010,33.279,38.692,41.783,36.950,56.167,31.490,51.367,25.000,41.840,55.792,44.654,74.208,62.175,34.531,33.175,33.846,26.938,29.400,27.525,31.533,23.904,27.633,24.354,42.242,67.038,86.013,31.063,58.329,41.196,11.579,30.938,15.217,31.717,19.104,50.633,40.033,32.671,38.388,27.138,30.129,29.908,32.079,21.396,30.321,23.000,28.038,49.183,20.300,20.696,30.208,25.067,24.944
13,,32.729,44.021,36.079,44.250,38.550,42.865,54.842,29.246,48.248,18.679,22.254,45.421,44.413,71.158,61.196,39.529,29.904,34.646,30.904,34.683,24.883,32.058,21.342,29.263,23.363,35.646,53.517,71.392,29.125,53.875,39.904,21.208,27.975,16.425,23.471,25.942,48.721,38.800,23.946,47.342,23.829,32.675,25.792,20.950,25.933,30.229,18.833,24.017,58.892,16.383,24.854,28.904,27.679,24.589
14,,32.500,44.725,35.717,60.671,50.183,36.646,48.350,31.150,56.608,16.098,18.938,53.863,46.875,66.304,52.717,60.496,26.188,32.971,23.800,29.829,21.454,39.342,25.967,18.625,25.571,48.154,55.150,74.879,33.596,58.542,34.492,13.871,22.638,19.683,23.796,40.008,51.450,36.083,24.679,46.300,22.783,29.725,16.554,31.308,24.171,30.321,26.025,31.625,59.846,19.958,23.974,37.858,28.983,27.639
15,,30.146,48.729,35.079,49.713,47.683,39.100,51.596,28.754,46.842,27.077,36.504,51.166,38.867,54.721,58.983,42.821,29.871,41.137,26.896,31.433,24.121,42.354,24.967,22.404,27.642,59.683,54.283,68.950,31.542,62.633,37.175,18.704,36.083,21.083,20.167,25.263,40.404,37.046,23.600,43.813,26.175,43.963,21.779,35.863,22.933,29.271,28.442,27.883,60.108,19.988,18.983,36.658,25.192,36.500
16,,30.321,52.625,39.321,48.808,100.542,42.675,69.400,26.063,56.667,36.508,47.675,67.538,32.283,43.704,55.592,49.775,29.700,41.909,25.592,36.725,26.846,52.479,23.875,20.067,22.046,57.381,64.775,70.938,34.171,72.208,34.221,27.963,28.400,22.054,26.050,16.179,49.363,50.050,28.167,45.117,27.488,51.346,21.408,24.617,22.413,27.292,26.329,30.333,52.667,20.800,25.571,32.883,24.408,31.544
17,,34.729,52.108,37.125,62.833,131.392,39.525,84.463,30.446,58.492,35.538,42.388,25.281,26.304,57.888,61.513,56.243,28.588,19.992,20.950,33.875,25.375,44.363,22.354,14.304,27.325,49.721,62.969,68.125,33.044,61.688,36.042,14.829,29.600,24.604,24.213,17.792,31.304,28.138,23.800,38.550,27.250,91.417,21.250,29.608,22.633,34.467,24.263,31.433,47.671,19.379,22.396,21.546,28.183,26.767
18,,41.367,60.388,41.392,67.454,159.713,38.275,78.879,28.908,55.929,41.179,42.000,14.433,33.713,58.583,67.013,65.513,27.700,32.325,23.375,39.642,30.213,39.879,19.258,21.267,32.858,44.458,62.538,67.829,30.121,64.467,49.196,30.446,30.471,25.733,20.229,22.733,45.288,37.329,28.138,43.217,27.308,104.579,33.054,27.906,21.688,28.242,26.500,21.500,48.479,20.608,20.408,31.554,28.021,27.183
19,,39.096,74.958,38.325,57.929,123.410,43.533,74.121,34.333,62.783,40.413,39.808,24.238,46.271,58.079,60.679,54.638,37.588,27.525,23.696,25.029,29.992,35.708,11.721,24.054,37.629,32.421,59.929,61.658,36.992,60.638,46.825,26.679,23.550,20.192,27.525,31.625,38.700,32.713,22.825,38.783,23.783,81.000,30.342,22.296,20.442,40.292,27.383,17.638,51.421,19.538,18.079,26.604,25.888,34.210
20,,36.971,90.171,35.413,58.629,122.708,52.042,68.533,36.888,54.558,40.533,24.913,23.492,39.642,55.996,59.089,35.792,43.583,29.154,25.567,31.738,25.067,41.083,17.638,17.042,20.983,32.688,57.813,70.275,37.933,63.829,39.604,17.217,18.663,19.246,40.125,38.854,43.758,19.754,20.433,38.350,25.971,69.100,29.971,14.675,19.521,45.638,27.988,26.425,57.808,20.192,21.133,26.617,28.558,27.772
21,,55.963,107.038,51.321,58.063,123.658,42.658,66.883,31.225,60.158,22.288,24.313,24.225,48.458,50.158,40.311,41.938,43.721,27.929,25.696,31.742,27.546,39.913,18.063,23.104,17.392,31.025,44.233,67.346,43.250,60.175,41.200,18.613,25.517,21.708,20.171,23.788,39.092,17.333,26.113,35.563,25.813,70.246,31.075,26.550,20.213,43.400,36.483,21.204,52.208,22.621,17.192,27.154,31.179,22.494
22,,63.796,100.154,88.333,60.704,116.704,33.054,63.925,27.558,60.133,37.925,35.333,27.500,52.865,51.917,34.846,55.646,43.088,32.450,24.629,34.529,29.396,31.579,22.050,21.329,20.688,31.121,62.467,60.942,39.421,68.350,34.213,37.863,32.192,22.296,14.246,28.617,39.763,24.410,26.396,33.825,25.188,68.283,31.833,26.163,18.221,39.013,27.613,30.188,46.438,23.217,20.525,27.433,34.000,33.211
23,,61.454,94.004,79.267,47.075,100.092,40.413,67.600,24.846,52.563,45.117,41.180,34.192,44.538,45.950,64.765,45.033,44.950,27.158,21.746,38.396,27.471,42.800,20.667,23.433,17.179,30.588,54.358,63.929,41.188,64.425,39.542,24.413,27.467,23.975,16.838,23.346,36.496,12.967,19.279,36.167,23.767,64.146,35.421,24.358,20.963,33.338,32.004,31.429,48.304,24.567,23.133,25.388,31.904,24.067
24,,75.838,83.538,67.592,32.971,100.471,37.933,63.304,28.463,46.421,39.504,39.958,31.650,39.217,60.902,60.554,46.754,37.075,26.604,21.188,41.133,27.846,32.398,28.729,22.942,27.129,30.492,57.006,69.533,41.550,65.417,38.496,24.258,31.333,27.788,19.975,31.104,43.929,28.663,24.225,33.850,29.175,72.808,32.667,20.729,20.858,36.546,38.088,30.221,48.108,32.254,26.313,31.108,33.238,27.133
25,,99.725,82.538,59.813,43.833,102.171,34.313,63.196,38.992,51.879,42.034,27.971,20.225,57.604,65.157,64.638,38.021,36.675,21.063,20.613,30.417,26.775,42.650,21.779,23.371,23.271,29.238,51.892,74.321,36.229,62.550,42.854,21.667,28.908,24.104,18.542,33.267,39.483,42.838,24.417,29.583,29.538,64.325,32.029,15.138,19.858,34.854,38.242,26.513,44.458,25.454,28.250,31.663,33.417,27.089
26,,43.892,84.817,65.854,41.000,109.108,43.925,61.938,38.300,47.975,47.225,32.804,31.842,55.221,47.221,86.563,29.908,35.146,23.013,22.242,23.483,28.879,28.266,26.796,25.192,22.988,28.167,42.113,75.392,42.458,58.263,39.542,18.142,28.088,18.346,21.050,29.979,37.863,20.454,27.946,38.433,23.221,71.408,31.075,25.358,18.067,42.029,36.442,28.225,47.571,22.108,24.913,35.567,30.317,27.117
27,,100.421,91.729,63.813,43.721,108.879,47.796,62.813,33.933,47.138,32.873,25.625,38.363,55.200,58.775,88.196,42.542,43.904,20.546,22.467,29.833,21.479,28.800,22.713,27.146,23.396,35.613,54.021,85.483,48.817,62.700,37.708,26.971,28.250,28.354,23.100,33.592,41.563,23.867,21.342,46.933,27.367,63.646,32.933,22.429,21.363,35.408,33.483,29.529,47.625,23.004,27.867,29.488,31.808,24.700
28,,103.358,85.079,59.429,43.667,102.363,47.013,58.238,31.688,50.258,23.875,36.267,32.865,52.439,54.371,69.621,49.158,33.683,23.258,24.896,23.721,22.388,35.754,12.329,26.354,27.725,25.713,39.696,80.029,39.831,53.758,37.888,28.783,27.771,50.338,31.163,36.600,33.308,11.663,30.779,21.233,26.250,52.463,38.292,28.479,20.204,38.088,33.704,28.817,50.663,24.850,35.754,27.946,31.088,26.461
29,,90.488,80.421,58.854,48.204,100.792,49.771,61.450,34.258,41.883,31.098,52.296,38.858,61.161,53.158,72.571,46.221,33.338,27.067,23.708,20.429,21.421,37.438,21.221,24.317,20.254,30.250,57.204,73.388,46.692,52.371,38.413,35.192,35.354,50.142,28.038,27.654,35.313,28.588,20.783,28.996,21.925,57.733,33.104,26.196,13.871,43.221,33.033,25.758,47.858,27.671,32.221,29.363,23.467,31.222
30,,85.408,76.954,58.250,43.563,99.433,43.904,61.983,25.450,46.183,51.485,48.521,38.556,49.588,55.350,76.571,49.167,30.938,29.838,18.983,23.275,24.575,33.925,26.433,25.121,11.292,24.313,62.108,86.883,48.950,58.717,35.988,27.408,29.117,38.754,42.008,23.642,38.338,16.067,32.621,29.958,27.088,41.708,33.138,27.196,19.900,38.783,38.550,36.279,47.017,21.992,33.783,25.771,32.263,22.789
31,,75.746,72.417,64.621,37.638,77.196,40.346,65.092,25.254,40.438,45.167,39.792,35.890,49.229,60.771,63.946,40.271,46.450,26.504,19.088,40.054,23.906,29.233,29.342,24.246,21.463,24.021,45.700,103.933,53.454,54.050,39.133,20.879,28.650,58.979,41.604,33.108,47.338,30.996,30.392,27.392,22.850,49.554,35.029,28.308,17.754,40.075,39.442,36.563,50.092,21.650,35.788,28.429,23.083,30.689
32,,61.004,102.500,64.442,37.554,75.267,40.829,57.392,24.533,44.490,45.390,41.121,27.679,45.956,53.783,59.158,45.295,56.725,24.721,23.635,29.142,30.708,30.196,25.171,27.758,17.292,40.083,43.950,117.200,45.354,58.863,43.554,27.563,24.225,79.446,31.525,28.771,43.708,32.492,15.021,28.221,30.642,58.283,29.096,31.063,20.525,42.171,35.229,28.233,57.508,22.771,32.563,21.633,30.350,33.711
33,,51.792,103.679,63.608,46.004,85.983,38.296,62.025,32.021,44.104,42.006,24.754,33.314,51.002,66.240,61.571,58.218,47.883,33.667,26.281,34.042,24.942,24.342,21.471,27.263,20.517,74.213,44.933,124.238,46.342,45.963,42.067,25.954,30.471,80.258,23.754,27.038,52.313,30.442,23.158,28.779,32.213,44.829,35.721,31.821,18.504,36.206,32.250,26.275,45.633,22.038,30.725,25.558,28.000,31.756
34,,46.429,94.535,41.638,34.450,86.775,35.219,61.867,41.496,41.402,36.129,13.083,46.632,49.017,63.743,54.773,48.663,51.638,30.650,21.227,33.383,20.204,24.933,22.138,24.604,21.396,82.175,49.358,111.479,43.900,55.346,58.138,25.088,29.113,61.058,27.333,27.625,50.479,27.258,19.583,20.958,29.233,40.975,40.442,27.442,21.854,38.375,28.875,33.158,55.492,23.771,38.467,26.696,28.233,22.183
35,,48.125,89.908,47.813,32.558,74.842,37.642,64.883,31.413,32.158,25.135,19.017,54.771,55.096,59.761,56.717,50.479,54.721,31.263,19.929,27.375,17.008,24.783,27.017,20.896,18.167,66.988,41.696,109.313,37.538,52.379,48.879,24.046,36.288,53.725,31.717,26.592,54.400,22.367,28.000,28.354,23.750,38.808,35.650,24.925,21.421,44.154,20.863,27.746,65.942,34.613,39.229,23.929,27.563,29.678
36,,49.258,82.733,47.867,38.563,71.079,39.808,59.771,23.063,42.838,17.533,37.446,46.440,57.563,42.988,50.838,57.396,49.488,28.992,23.167,22.533,21.963,28.171,29.954,23.675,15.338,54.842,45.550,111.388,45.433,60.921,44.079,23.154,34.625,44.767,24.846,27.383,61.908,24.604,23.763,23.004,19.804,26.158,33.492,30.558,18.083,40.038,29.546,37.129,84.779,32.054,29.417,23.975,27.417,35.728
37,,48.150,76.538,50.000,40.271,70.604,42.275,50.467,16.621,50.254,22.686,39.644,45.370,46.425,25.983,56.375,30.988,49.667,29.496,14.188,38.925,28.154,27.656,27.317,21.513,15.246,53.208,59.438,101.946,33.008,36.529,55.258,21.458,39.525,44.588,30.829,22.113,60.111,19.671,25.092,24.504,27.167,34.325,25.463,31.200,29.025,43.300,20.663,36.642,82.200,29.888,37.121,26.571,19.642,19.472
38,,47.750,70.579,51.592,37.538,68.358,42.842,55.888,30.750,54.029,27.838,35.717,23.283,32.217,51.625,51.013,36.404,42.292,27.904,19.467,37.877,27.796,23.117,18.908,18.750,18.871,46.175,79.840,98.575,40.800,49.383,48.800,17.954,48.133,38.433,23.571,24.654,54.460,23.713,20.163,30.142,32.029,50.717,29.846,30.029,14.808,45.088,25.800,38.542,74.396,25.471,56.229,19.925,25.375,22.339
39,,47.067,66.804,63.975,40.417,67.579,42.758,50.442,31.650,54.671,32.991,31.700,14.117,49.517,45.446,57.788,40.196,42.221,23.708,18.321,38.769,22.133,27.504,18.854,21.217,33.896,46.279,184.633,91.288,50.788,61.408,40.879,28.604,40.554,39.908,23.375,22.750,43.008,24.088,25.750,21.958,28.479,41.908,34.650,29.633,19.917,52.846,25.300,41.504,72.225,31.821,71.575,24.958,26.471,22.144
40,,46.329,66.850,61.300,37.942,66.113,42.617,51.896,30.688,64.008,38.143,36.794,26.958,58.867,44.800,43.950,44.617,37.825,33.175,18.433,31.196,28.643,27.700,18.511,23.146,22.617,46.404,207.779,96.125,42.958,56.844,41.742,20.667,15.125,33.833,22.913,21.250,46.442,17.842,26.088,26.063,38.733,47.471,31.538,33.342,16.804,65.154,22.167,35.308,68.000,23.367,58.167,28.400,25.350,26.922
41,,39.400,71.271,52.608,33.654,67.808,41.888,44.571,30.304,63.938,28.928,15.596,39.082,57.361,42.325,45.463,32.133,51.365,36.833,20.246,28.804,20.683,25.667,17.559,23.608,23.988,42.771,166.292,88.404,40.058,55.113,34.475,23.450,22.908,25.338,27.329,16.579,53.400,29.154,16.704,39.283,24.854,43.746,23.729,26.592,21.779,81.946,22.567,64.688,68.558,22.508,46.967,25.325,26.154,33.700
42,,40.388,77.792,44.958,25.808,64.663,37.363,41.596,23.483,64.929,38.888,22.246,58.484,65.438,47.946,41.663,51.888,53.706,30.058,26.742,28.075,21.033,30.121,20.125,18.908,18.554,42.146,122.496,89.400,44.629,43.667,50.948,13.904,29.579,38.854,25.346,23.888,49.788,25.646,30.083,26.558,18.633,44.192,28.608,31.804,25.946,86.883,26.875,79.754,56.367,27.288,41.867,31.192,24.650,30.100
43,,38.388,90.538,43.529,45.388,65.250,43.225,56.717,19.775,64.079,45.429,33.550,36.667,38.396,41.508,56.538,46.063,49.518,33.133,24.400,17.321,44.217,28.475,21.817,23.296,21.567,46.638,92.800,82.383,47.375,47.625,36.063,23.113,33.950,30.879,23.292,15.879,48.829,30.971,27.558,24.846,22.054,32.517,22.533,26.975,17.292,78.167,24.338,77.975,58.400,30.413,41.342,25.817,20.571,32.300
44,,43.575,85.554,44.788,31.921,66.129,41.713,54.883,15.892,62.800,64.783,34.950,26.954,37.500,41.296,67.467,45.300,44.642,37.646,21.525,22.058,39.100,20.033,23.613,20.258,20.138,44.233,96.950,97.321,44.267,55.715,31.471,20.738,40.088,29.154,28.925,19.783,54.117,44.617,31.650,30.833,18.700,43.242,35.017,32.333,32.083,75.279,31.442,69.408,61.379,25.579,45.004,23.733,25.779,20.261
45,,44.733,86.267,53.000,29.248,58.250,45.958,58.042,22.171,63.154,69.746,37.658,22.800,43.163,48.179,61.967,58.692,41.325,38.075,29.342,24.500,39.350,25.204,24.538,23.354,20.042,50.000,90.217,87.808,44.171,41.321,45.646,26.992,42.563,26.283,30.138,22.004,47.146,33.075,31.263,24.321,21.058,49.013,33.304,28.246,32.908,72.588,24.900,59.621,51.175,27.696,41.433,18.679,26.250,22.783
46,,60.496,88.250,57.608,33.792,43.004,18.229,64.467,28.767,59.467,61.396,41.313,18.521,48.558,49.946,72.392,47.192,29.292,35.567,24.596,22.763,51.331,26.925,29.613,19.375,20.542,46.258,86.135,98.863,47.525,55.967,48.883,29.796,34.588,26.854,20.379,21.196,45.436,32.425,35.600,20.913,22.063,58.763,31.088,27.821,43.238,70.450,38.029,60.888,59.054,27.113,42.967,22.688,28.854,22.656
47,,59.208,96.613,60.308,36.733,61.408,17.679,60.183,19.867,56.663,56.729,24.625,34.475,77.121,50.921,65.946,40.092,34.758,42.242,22.125,13.579,29.462,33.996,16.998,22.627,23.121,45.633,78.858,111.954,49.688,57.817,54.454,27.029,18.142,25.879,26.771,23.158,51.195,45.138,23.225,21.191,25.054,49.583,36.375,33.333,30.454,68.938,45.373,63.533,51.913,31.029,27.854,24.896,30.925,22.711
48,,30.067,90.046,69.246,43.154,65.179,23.558,64.342,20.033,53.925,22.884,9.950,68.596,97.404,71.404,62.542,40.246,54.550,42.329,25.846,18.600,36.659,35.988,13.750,31.488,22.342,48.825,86.558,101.588,41.467,50.266,63.144,22.275,19.838,29.521,32.625,17.679,52.000,47.838,21.054,22.388,27.533,58.571,26.642,28.204,41.788,61.850,50.775,81.650,61.896,25.354,39.463,25.017,24.138,23.961
49,,35.121,89.692,75.038,33.442,65.017,39.521,65.258,24.258,47.733,18.758,22.442,74.096,116.579,60.029,41.092,44.671,80.108,36.004,26.504,18.775,35.779,38.329,22.500,26.606,21.404,39.483,97.938,107.713,43.696,52.721,59.317,15.746,24.592,27.700,25.652,18.700,34.758,39.613,29.117,29.933,26.054,54.896,29.208,30.200,35.771,59.333,61.713,81.050,63.513,29.725,30.658,22.817,28.817,21.144
50,,83.754,86.088,75.571,38.071,66.046,42.000,64.079,21.900,48.058,32.567,37.596,64.004,90.467,81.381,43.279,47.492,83.350,28.071,28.913,13.983,40.004,38.467,20.571,26.875,25.117,48.929,125.167,101.929,44.371,50.942,32.513,21.592,31.458,30.954,38.067,18.496,33.925,43.738,28.221,23.179,25.175,56.875,32.271,31.463,35.363,55.454,53.553,80.471,58.783,28.163,30.263,24.092,23.883,25.972
51,,70.400,84.379,77.642,38.783,65.921,41.704,65.692,23.221,48.250,40.679,36.842,75.883,113.342,81.225,45.846,54.854,85.023,29.625,21.150,16.533,30.221,35.671,25.083,21.938,23.567,48.692,132.792,109.242,54.565,59.992,36.688,27.600,34.608,27.163,38.467,18.250,48.079,43.617,27.942,28.204,25.550,47.050,32.563,32.554,37.679,53.908,61.354,80.817,57.367,27.054,25.013,32.154,20.900,20.650
52,,63.104,78.904,75.350,38.458,69.996,67.692,62.121,20.638,48.421,43.048,48.235,74.188,101.792,88.513,49.698,59.061,76.825,27.463,21.833,21.546,29.829,41.750,35.679,25.596,23.421,55.858,132.325,100.775,37.625,56.271,34.696,21.775,30.333,33.875,34.625,22.992,45.013,42.767,24.946,22.004,31.100,52.508,30.908,23.054,30.496,49.017,53.863,79.683,52.546,30.596,26.917,21.854,21.946,24.850
53,,60.750,75.525,74.129,35.629,86.058,66.992,58.425,27.675,43.017,45.375,52.872,63.917,133.054,85.075,54.992,50.729,78.354,23.500,20.563,28.229,33.829,44.604,43.133,18.058,20.517,59.700,124.613,108.204,39.642,65.417,47.992,23.729,29.350,34.729,35.375,23.421,39.717,33.225,34.713,23.683,26.438,54.027,38.154,26.217,34.667,45.604,49.754,98.300,51.988,29.158,20.250,22.681,30.033,26.844
54,,56.217,74.829,67.433,34.363,80.179,63.977,61.838,19.904,43.075,46.950,38.647,64.679,129.715,70.563,46.854,47.950,86.800,27.608,24.638,31.125,31.917,43.550,39.104,26.504,20.446,58.213,120.325,99.954,39.188,47.250,41.379,20.467,21.963,36.463,40.729,13.600,45.679,40.350,23.992,27.183,29.479,45.346,71.146,24.900,31.033,51.538,49.725,98.933,53.367,25.250,23.542,32.042,20.058,24.500
55,,53.138,74.254,72.421,31.433,76.683,57.504,57.417,23.588,41.075,34.383,27.325,61.321,146.850,74.617,53.719,29.563,132.177,26.375,22.088,31.879,28.983,38.763,42.525,25.963,25.846,51.821,114.279,95.525,36.383,76.038,49.742,14.000,34.413,39.713,37.804,20.279,43.963,39.488,25.633,23.342,19.638,43.763,59.979,25.046,32.671,43.904,42.363,94.846,51.108,27.554,28.817,38.642,20.942,21.400
56,,37.613,75.450,79.625,27.850,76.708,56.325,60.296,23.858,37.942,23.221,42.681,62.421,130.396,83.110,33.263,42.875,159.348,30.804,23.913,33.263,34.875,53.573,36.158,24.733,22.396,51.279,111.795,96.404,48.179,91.058,55.779,17.979,41.188,33.796,35.292,18.379,27.921,33.004,25.617,40.138,22.492,49.371,32.979,28.483,28.317,43.192,40.904,86.188,51.204,27.233,29.867,29.775,21.675,26.756
57,,50.208,74.063,79.625,30.017,75.063,55.100,64.129,23.971,41.913,33.779,32.750,66.158,106.267,77.854,31.929,44.800,157.504,21.683,22.083,35.550,39.758,48.636,33.575,27.504,22.850,48.258,97.472,93.046,40.150,84.715,57.792,26.367,41.004,24.383,34.442,15.729,32.158,37.025,28.588,37.883,28.671,42.250,44.958,28.471,26.771,32.571,34.929,82.529,50.871,28.463,22.263,31.113,21.296,24.178
58,,53.146,74.417,76.813,31.150,75.621,58.321,58.913,11.746,47.275,51.221,29.873,56.979,101.642,87.796,74.650,70.950,147.646,18.642,23.346,36.104,39.108,45.529,42.679,25.492,16.917,51.321,100.542,97.658,40.171,91.288,47.917,23.229,45.579,27.542,41.988,14.971,40.279,40.754,30.183,41.563,19.946,44.067,40.400,28.108,34.008,43.513,40.988,78.279,51.175,29.917,23.567,28.075,18.321,30.828
59,,45.488,70.583,87.079,35.496,75.583,52.279,65.754,23.938,60.867,58.969,28.138,50.729,97.292,92.250,44.171,41.700,152.233,20.163,17.433,39.871,35.168,33.972,39.358,23.363,18.142,54.221,107.979,96.825,45.100,91.021,66.583,23.579,36.279,30.363,40.008,26.046,43.738,28.413,32.450,35.483,19.146,45.621,41.946,18.888,41.104,40.113,42.908,77.113,45.171,34.542,25.763,31.983,20.038,17.294
60,,48.408,68.413,109.592,41.796,78.083,45.313,73.442,26.446,60.025,56.727,38.750,39.093,97.288,87.523,48.996,48.346,136.179,22.479,22.304,35.646,34.113,35.564,42.288,21.625,22.767,51.504,101.000,97.229,46.579,106.252,75.321,12.933,26.863,31.454,27.050,16.138,41.975,29.938,35.267,36.525,24.738,57.533,41.633,27.083,39.792,38.038,42.550,74.763,56.642,34.246,21.583,32.817,29.008,24.089
61,,45.600,64.388,107.950,40.883,76.017,42.804,71.433,26.038,62.979,41.446,45.763,46.649,102.266,83.088,42.052,41.071,134.675,20.517,23.104,32.879,33.267,27.646,41.258,23.575,22.246,46.933,93.317,92.163,38.446,113.929,65.433,13.638,22.158,21.142,36.071,24.004,49.383,31.213,27.454,32.970,22.096,51.363,41.946,29.808,47.554,32.600,39.704,70.463,53.350,33.408,26.688,36.746,39.779,29.783
62,,41.358,61.704,106.304,45.025,77.213,70.633,71.442,30.254,53.121,31.854,34.348,45.654,99.417,92.938,51.121,32.229,136.079,24.208,24.979,32.733,26.100,21.900,40.750,25.125,36.450,49.313,95.683,92.888,34.967,95.642,61.342,15.196,26.050,28.038,36.538,21.175,38.906,33.488,34.800,43.092,22.421,55.163,34.663,29.583,42.600,32.433,38.321,70.517,49.267,34.417,24.579,38.217,51.275,23.567
