day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30,97.4420,182.0540,142.4250,114.8580,124.1000,156.7960,87.6420,119.9870,81.9580,76.0420,74.9000,112.8000,123.7000,94.4000,115.2750,63.1370,130.5250,81.9000,100.9500,90.2417,143.7460,84.2000,77.1000,125.0000,118.5750,112.5000,112.5500,135.5417
31,97.7080,191.0250,124.6000,103.0710,114.9000,172.1830,80.0170,122.1750,60.2040,72.4330,100.0000,111.1000,110.8000,93.7000,81.2210,41.1250,151.0500,92.8000,93.9833,84.6208,149.0830,92.9000,97.7000,111.9000,107.6667,83.2609,110.8833,127.6250
32,73.7540,205.8870,111.6250,101.5710,142.2000,153.4790,59.6710,98.4790,48.6500,57.3170,87.9000,97.2000,110.4000,107.1000,64.1920,81.1040,138.2458,77.6000,92.6042,53.2042,143.0875,74.7000,108.2000,129.5000,87.9167,74.9042,111.6417,128.6125
33,65.3750,204.3420,113.0620,140.3830,169.3000,121.1210,65.0500,85.6670,44.7620,101.3620,104.0000,90.9000,114.2000,71.4000,86.3500,79.6620,142.2125,86.0000,87.1958,48.2625,129.5833,102.8000,124.2000,131.8000,75.7083,110.8875,127.0542,129.6208
34,70.2040,175.7290,140.7960,148.0080,162.1000,115.7000,60.0580,72.2790,67.5790,102.5080,126.8000,89.7000,84.0000,88.5000,103.1170,68.7460,137.3250,81.5000,53.5500,83.4292,149.2208,71.3000,118.7000,140.6000,77.2625,110.9500,119.2667,129.0042
35,58.8750,138.1210,142.2420,145.6580,166.3000,139.9790,63.8420,117.0210,83.3580,75.5960,120.4000,80.0000,64.4000,96.9000,82.7540,63.1750,107.3583,64.5000,81.6958,82.9833,147.8417,89.7000,110.3000,118.2000,105.3000,119.3125,133.3417,147.7000
36,61.4670,141.3540,156.6130,143.2580,162.1000,124.9790,90.9460,104.8420,86.3080,112.3960,88.3000,60.0000,91.6000,98.3000,77.9830,63.2710,94.0250,65.1000,91.3542,98.4333,152.0125,50.5000,105.0000,117.8000,87.3542,120.5833,122.6083,131.9583
37,110.7920,149.8210,161.4830,144.1920,148.7000,80.5290,96.0420,107.4330,93.9330,98.1250,88.6000,101.6000,103.5000,106.4250,70.8790,47.2250,100.9792,87.8000,108.6833,118.0667,146.9375,81.2000,111.4000,126.1000,73.3625,126.8750,79.0500,127.4833
38,93.3920,109.0040,166.2580,113.5870,125.5000,122.2500,104.1880,91.8290,88.5620,72.0750,134.2000,113.2000,116.8000,94.6960,54.9000,42.8040,125.0167,108.0000,112.9375,115.2333,148.5417,54.7000,130.2000,142.1000,102.4208,119.8333,106.5833,116.9958
39,99.2790,59.0080,146.4960,113.7290,152.5000,121.2630,111.6500,100.4380,54.4580,45.0580,131.2000,98.6000,110.9000,94.0000,73.0500,78.1920,140.0167,94.5000,127.6292,87.2042,138.4167,67.8000,124.0000,139.3000,111.5917,88.1333,139.2000,96.7833
