"","from","to","mean","q5","q95","origin"
"68","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.472476275,0.3471158,0.5987572,"Fifteenmile_Creek"
"69","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.508446625,0.48880465,0.52809635,"John_Day_River"
"70","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.47752186,0.45285435,0.50113705,"Umatilla_River"
"71","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.01025948395,0.004552433,0.01673278,"Yakima_River"
"72","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.0449760195,0.039151845,0.050558565,"Walla_Walla_River"
"73","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.00839912377955485,1.51169855e-11,0.0344748399999999,"Deschutes_River"
"74","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.00137100622636702,6.4524625e-10,0.00777021999999999,"Fifteenmile_Creek"
"75","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0139747127,0.010129685,0.018500655,"John_Day_River"
"76","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0209510855,0.01350027,0.02882898,"Umatilla_River"
"77","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.138053985,0.11625175,0.1619973,"Yakima_River"
"78","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0204711445,0.01686318,0.024359315,"Walla_Walla_River"
"79","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.2360176855,0.05476872,0.47795015,"Deschutes_River"
"80","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.1202779405,0.05877411,0.19933455,"Fifteenmile_Creek"
"81","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.21221787,0.19870225,0.2253492,"John_Day_River"
"82","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.191984095,0.16824985,0.2120408,"Umatilla_River"
"83","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.035470034,0.02521053,0.048037325,"Yakima_River"
"84","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.573908505,0.55812225,0.58992055,"Walla_Walla_River"
"85","mainstem, MCN to ICH or PRA","Yakima River",0.0070467822411423,3.1652565e-12,0.0392476549999999,"Deschutes_River"
"86","mainstem, MCN to ICH or PRA","Yakima River",0.0011975529158081,5.6670125e-13,0.00684555,"Fifteenmile_Creek"
"87","mainstem, MCN to ICH or PRA","Yakima River",0.00104759896445,0.0002258838,0.0023051555,"John_Day_River"
"88","mainstem, MCN to ICH or PRA","Yakima River",0.002061904256,0.00044334125,0.004654477,"Umatilla_River"
"89","mainstem, MCN to ICH or PRA","Yakima River",0.761025385,0.7345394,0.79078215,"Yakima_River"
"90","mainstem, MCN to ICH or PRA","Yakima River",0.0006219242185,0.000105091145,0.001379607,"Walla_Walla_River"
"91","mainstem, MCN to ICH or PRA","Walla Walla River",0.0100149754427221,1.913295e-11,0.0519482299999999,"Deschutes_River"
"92","mainstem, MCN to ICH or PRA","Walla Walla River",0.02018711775,0.0018880205,0.053359985,"Fifteenmile_Creek"
"93","mainstem, MCN to ICH or PRA","Walla Walla River",0.0049783181,0.003046823,0.007567161,"John_Day_River"
"94","mainstem, MCN to ICH or PRA","Walla Walla River",0.0078419647,0.003713747,0.013190295,"Umatilla_River"
"95","mainstem, MCN to ICH or PRA","Walla Walla River",0.000119942080313811,1.93601985e-12,0.000785993699999999,"Yakima_River"
"96","mainstem, MCN to ICH or PRA","Walla Walla River",0.279072,0.26411085,0.293015,"Walla_Walla_River"
"97","mainstem, MCN to ICH or PRA","loss",0.3444239655,0.10729151,0.6077484,"Deschutes_River"
"98","mainstem, MCN to ICH or PRA","loss",0.384490105,0.26238775,0.4923116,"Fifteenmile_Creek"
"99","mainstem, MCN to ICH or PRA","loss",0.259334835,0.2422921,0.27439545,"John_Day_River"
"100","mainstem, MCN to ICH or PRA","loss",0.299639125,0.27747605,0.3243757,"Umatilla_River"
"101","mainstem, MCN to ICH or PRA","loss",0.055071126,0.04105356,0.07109202,"Yakima_River"
"102","mainstem, MCN to ICH or PRA","loss",0.0809504185,0.07297485,0.08943811,"Walla_Walla_River"
"103","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.516625322015254,1.4953035e-09,1,"Deschutes_River"
"104","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.507567388473987,7.498726e-11,1,"Fifteenmile_Creek"
"105","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.509018205,0.36498825,0.65559705,"John_Day_River"
"106","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.55248479,0.34165865,0.71277125,"Umatilla_River"
"107","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.60328671,0.5226904,0.6837542,"Yakima_River"
"108","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.525414255,0.4429461,0.60285185,"Walla_Walla_River"
"109","mainstem, PRA to RIS","mainstem, RIS to RRE",0.380398090947447,7.796273e-10,0.8292637,"Deschutes_River"
"110","mainstem, PRA to RIS","mainstem, RIS to RRE",0.387505038789216,5.868989e-08,0.8318073,"Fifteenmile_Creek"
"111","mainstem, PRA to RIS","mainstem, RIS to RRE",0.386590595,0.26444575,0.49846855,"John_Day_River"
"112","mainstem, PRA to RIS","mainstem, RIS to RRE",0.352288435,0.22802035,0.5189295,"Umatilla_River"
"113","mainstem, PRA to RIS","mainstem, RIS to RRE",0.31229225,0.24240355,0.38279485,"Yakima_River"
"114","mainstem, PRA to RIS","mainstem, RIS to RRE",0.37360208,0.30731395,0.4492743,"Walla_Walla_River"
"115","mainstem, PRA to RIS","loss",0.102976590542595,2.0045615e-10,0.2624614,"Deschutes_River"
"116","mainstem, PRA to RIS","loss",0.104927603513065,1.3958514e-08,0.2606858,"Fifteenmile_Creek"
"117","mainstem, PRA to RIS","loss",0.1043912215,0.06617033,0.1445986,"John_Day_River"
"118","mainstem, PRA to RIS","loss",0.0952267665,0.05743448,0.1463033,"Umatilla_River"
"119","mainstem, PRA to RIS","loss",0.084421023,0.05671532,0.1118047,"Yakima_River"
"120","mainstem, PRA to RIS","loss",0.100983663,0.07060652,0.14080365,"Walla_Walla_River"
"121","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.236458396,0.010280989,0.54379445,"Deschutes_River"
"122","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.3062696555,0.10164143,0.55958325,"Fifteenmile_Creek"
"123","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.27733224,0.24347245,0.3140158,"John_Day_River"
"124","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.32520161,0.27322255,0.3764405,"Umatilla_River"
"125","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.55636445,0.390113,0.73476535,"Yakima_River"
"126","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.25940873,0.2444039,0.276362,"Walla_Walla_River"
"127","mainstem, ICH to LGR","mainstem, upstream of LGR",0.3573438395,0.2124872,0.4611536,"Deschutes_River"
"128","mainstem, ICH to LGR","mainstem, upstream of LGR",0.324538945,0.20536765,0.41572535,"Fifteenmile_Creek"
"129","mainstem, ICH to LGR","mainstem, upstream of LGR",0.338116935,0.3169942,0.3616622,"John_Day_River"
"130","mainstem, ICH to LGR","mainstem, upstream of LGR",0.31570684,0.2878578,0.34247465,"Umatilla_River"
"131","mainstem, ICH to LGR","mainstem, upstream of LGR",0.2077465715,0.12244585,0.2900801,"Yakima_River"
"132","mainstem, ICH to LGR","mainstem, upstream of LGR",0.34653784,0.32932225,0.3649154,"Walla_Walla_River"
"133","mainstem, ICH to LGR","Tucannon River",0.1144738825,0.067053945,0.154159,"Deschutes_River"
"134","mainstem, ICH to LGR","Tucannon River",0.1039739295,0.065633975,0.13880705,"Fifteenmile_Creek"
"135","mainstem, ICH to LGR","Tucannon River",0.108316288,0.096700495,0.12041135,"John_Day_River"
"136","mainstem, ICH to LGR","Tucannon River",0.101144808,0.089327185,0.11488735,"Umatilla_River"
"137","mainstem, ICH to LGR","Tucannon River",0.0664330305,0.03935732,0.09380878,"Yakima_River"
"138","mainstem, ICH to LGR","Tucannon River",0.1109650885,0.10227695,0.1201653,"Walla_Walla_River"
"139","mainstem, ICH to LGR","loss",0.291723848,0.17486815,0.37638125,"Deschutes_River"
"140","mainstem, ICH to LGR","loss",0.2652174685,0.1694019,0.3445176,"Fifteenmile_Creek"
"141","mainstem, ICH to LGR","loss",0.276234535,0.25995465,0.2958665,"John_Day_River"
"142","mainstem, ICH to LGR","loss",0.257946785,0.23473715,0.28309115,"Umatilla_River"
"143","mainstem, ICH to LGR","loss",0.169455955,0.1046712,0.2339473,"Yakima_River"
"144","mainstem, ICH to LGR","loss",0.28308833,0.2711745,0.2985052,"Walla_Walla_River"
"145","Deschutes River","mainstem, BON to MCN",0.002723425182,0.0001590838,0.0082478765,"Deschutes_River"
"146","Deschutes River","mainstem, BON to MCN",0.24796208,0.17280425,0.32993755,"Fifteenmile_Creek"
"147","Deschutes River","mainstem, BON to MCN",0.64243157,0.58210625,0.69233905,"John_Day_River"
"148","Deschutes River","mainstem, BON to MCN",0.486437875,0.41317665,0.548686,"Umatilla_River"
"149","Deschutes River","mainstem, BON to MCN",0.950116705,0.8887686,0.9898073,"Yakima_River"
"150","Deschutes River","mainstem, BON to MCN",0.808334015,0.7442009,0.86140505,"Walla_Walla_River"
"151","Deschutes River","loss",0.997276565,0.9917523,0.9998413,"Deschutes_River"
"152","Deschutes River","loss",0.75203792,0.67006245,0.82719575,"Fifteenmile_Creek"
"153","Deschutes River","loss",0.35756843,0.30766095,0.41789375,"John_Day_River"
"154","Deschutes River","loss",0.513562125,0.451314,0.58682335,"Umatilla_River"
"155","Deschutes River","loss",0.0498832514,0.010192596,0.1112314,"Yakima_River"
"156","Deschutes River","loss",0.191665985,0.13859495,0.2557991,"Walla_Walla_River"
"157","John Day River","mainstem, BON to MCN",0.0322616999088602,5.867298e-13,0.1567065,"Deschutes_River"
"158","John Day River","mainstem, BON to MCN",0.0137313710619252,8.8770825e-14,0.0635031949999997,"Fifteenmile_Creek"
"159","John Day River","mainstem, BON to MCN",0.0008675294655,4.6816565e-05,0.00268079,"John_Day_River"
"160","John Day River","mainstem, BON to MCN",0.0310719740992722,1.217264e-14,0.25088555,"Umatilla_River"
"161","John Day River","mainstem, BON to MCN",0.223489545978652,1.2903652e-13,0.999985,"Yakima_River"
"162","John Day River","mainstem, BON to MCN",0.519858823034433,1.1918253e-17,1,"Walla_Walla_River"
"163","John Day River","loss",0.96773832,0.8432935,1,"Deschutes_River"
"164","John Day River","loss",0.986268645,0.9364971,1,"Fifteenmile_Creek"
"165","John Day River","loss",0.999132455,0.99731905,0.99995305,"John_Day_River"
"166","John Day River","loss",0.968928054,0.74911445,1,"Umatilla_River"
"167","John Day River","loss",0.776510475949992,1.466693e-05,1,"Yakima_River"
"168","John Day River","loss",0.480141197038445,0,1,"Walla_Walla_River"
"169","Hood River","mainstem, BON to MCN",0.3691907937,0.025923175,0.79293125,"Deschutes_River"
"170","Hood River","mainstem, BON to MCN",0.652124950864307,3.4571185e-07,1,"Fifteenmile_Creek"
"171","Hood River","mainstem, BON to MCN",0.952655065,0.6880127,1,"John_Day_River"
"172","Hood River","mainstem, BON to MCN",0.993134345,0.95727805,1,"Umatilla_River"
"173","Hood River","mainstem, BON to MCN",0.664747113361475,9.8985185e-07,1,"Yakima_River"
"174","Hood River","mainstem, BON to MCN",0.406668540284771,2.9455685e-19,1,"Walla_Walla_River"
"175","Hood River","loss",0.630809215,0.20706875,0.97407645,"Deschutes_River"
"176","Hood River","loss",0.347875081099131,3.418986e-11,1,"Fifteenmile_Creek"
"177","Hood River","loss",0.047344948768848,1.29810915e-12,0.3119873,"John_Day_River"
"178","Hood River","loss",0.00686566516237352,1.51639575e-11,0.0427216699999999,"Umatilla_River"
"179","Hood River","loss",0.335252884451647,4.608134e-11,0.999999,"Yakima_River"
"180","Hood River","loss",0.593331494548266,2.0483579e-15,1,"Walla_Walla_River"
"181","Fifteenmile Creek","mainstem, BON to MCN",0.27814035655057,6.8011515e-14,1,"Deschutes_River"
"182","Fifteenmile Creek","mainstem, BON to MCN",0.000782265226663348,2.7308535e-15,0.0047159405,"Fifteenmile_Creek"
"183","Fifteenmile Creek","mainstem, BON to MCN",0.257377819207877,2.870131e-13,1,"John_Day_River"
"184","Fifteenmile Creek","mainstem, BON to MCN",0.27877112685974,1.3702387e-14,0.99999515,"Umatilla_River"
"185","Fifteenmile Creek","mainstem, BON to MCN",0.241628163886894,3.3451635e-13,0.99998035,"Yakima_River"
"186","Fifteenmile Creek","mainstem, BON to MCN",0.517464851903761,5.0391481e-19,1,"Walla_Walla_River"
"187","Fifteenmile Creek","loss",0.721859662498251,2.2716375e-07,1,"Deschutes_River"
"188","Fifteenmile Creek","loss",0.99921775,0.99528395,1,"Fifteenmile_Creek"
"189","Fifteenmile Creek","loss",0.742622216084889,3.7131055e-07,1,"John_Day_River"
"190","Fifteenmile Creek","loss",0.721228856455408,5.199264e-06,1,"Umatilla_River"
"191","Fifteenmile Creek","loss",0.758371849482166,1.944576e-05,1,"Yakima_River"
"192","Fifteenmile Creek","loss",0.482535164033632,0,1,"Walla_Walla_River"
"193","Umatilla River","mainstem, BON to MCN",0.354469356012813,1.0596875e-12,0.999999,"Deschutes_River"
"194","Umatilla River","mainstem, BON to MCN",0.0473391533158233,8.0220385e-12,0.3089999,"Fifteenmile_Creek"
"195","Umatilla River","mainstem, BON to MCN",0.067850999,0.02699048,0.1173527,"John_Day_River"
"196","Umatilla River","mainstem, BON to MCN",0.001273447334,0.000102043635,0.003834517,"Umatilla_River"
"197","Umatilla River","mainstem, BON to MCN",0.332273636420571,3.130263e-11,1,"Yakima_River"
