"","tag_code_2","natal_origin","rear_type"
"234","384.3B23AB7DF4",15,2
"235","384.3B23AB89C7",15,2
"236","384.3B23AC43C0",9,1
"237","384.3B23ACA1BD",9,1
"238","384.3B23ACF775",14,1
"239","384.3B23AD1058",14,1
"240","384.3B23AD782D",14,1
"241","384.3B23AD7BCC",14,1
"242","384.3B23AD7C1A",14,1
"243","384.3B23AD7DA9",14,1
"244","384.3B23AD80AD",14,1
"245","384.3B23AD80F5",14,1
"246","384.3B23AD812E",14,1
"247","384.3B23AD85C1",14,1
"248","384.3B23AD869E",14,1
"249","384.3B23AD8EB5",14,1
"250","384.3B23AD9040",14,1
"251","384.3B23AD9260",14,1
"252","384.3B23AD9857",14,1
"253","384.3B23AD990D",14,1
"254","384.3B23AD9945",14,1
"255","384.3B23AD9978",14,1
"256","384.3B23ADA2D5",14,1
"257","384.3B23ADA603",14,1
"258","384.3B23ADA6EE",14,1
"259","384.3B23ADAD59",14,1
"260","384.3B23ADB1D8",14,1
"261","384.3B23ADB40E",14,1
"262","384.3B23ADBDC8",9,1
"263","384.3B23ADC0F7",14,1
"264","384.3B23ADC101",14,1
"265","384.3B23ADC7DF",14,1
"266","384.3B23ADC7F8",14,1
"267","384.3B23ADC857",14,1
"268","384.3B23ADC8DA",14,1
"269","384.3B23ADC8F7",14,1
"270","384.3B23ADCC1A",14,1
"271","384.3B23ADD59C",14,1
"272","384.3B23ADD653",14,1
"273","384.3B23ADDC95",14,1
"274","384.3B23ADDD5B",14,1
"275","384.3B23ADDD5D",14,1
"276","384.3B23ADE432",14,1
"277","384.3B23ADE4D1",14,1
"278","384.3B23ADEA7B",14,1
"279","384.3B23ADEB2B",14,1
"280","384.3B23ADEDCA",14,1
"281","384.3B23ADEDDF",14,1
"282","384.3B23ADF82E",14,1
"283","384.3B23ADFBA4",14,1
"284","384.3B23ADFC48",14,1
"285","384.3B23AE021B",14,1
"286","384.3B23AE0237",14,1
"287","384.3B23AE051E",14,1
"288","384.3B23AE05FD",14,1
"289","384.3B23AE09D0",14,1
"290","384.3B23AE12D1",14,1
"291","384.3B23AE1CD1",14,1
"292","384.3B23AE1D5A",9,1
"293","384.3B23AE1D68",9,1
"294","384.3B23AE1ECA",9,1
"295","384.3B23AE31BD",9,1
"296","384.3B23AE3477",9,1
"297","384.3B23AE35AA",14,1
"298","384.3B23AE3822",9,1
"299","384.3B23AE3EB4",9,1
"300","384.3B23AE3F90",9,1
"301","384.3B23AE4A61",14,1
"302","384.3B23AE4F92",9,1
"303","384.3B23AE5527",9,1
"304","384.3B23AE56E1",9,1
"305","384.3B23AE5CC2",9,1
"306","384.3B23AE5D0F",9,1
"307","384.3B23AE5D12",9,1
"308","384.3B23AE5FE7",14,1
"309","384.3B23AE6128",9,1
"310","384.3B23AE6263",9,1
"311","384.3B23AE6460",14,1
"312","384.3B23AE66EC",9,1
"313","384.3B23AE6862",9,1
"314","384.3B23AE6944",14,1
"315","384.3B23AE6C2A",9,1
"316","384.3B23AE6F18",9,1
"317","384.3B23AE6F38",9,1
"318","384.3B23AE6F7C",9,1
"319","384.3B23AE6FAB",14,1
"320","384.3B23AE725B",9,1
"321","384.3B23AE72AC",14,1
"322","384.3B23AE792A",9,1
"323","384.3B23AE7D4A",9,1
"324","384.3B23AE7D69",9,1
"325","384.3B23AE826C",9,1
"326","384.3B23AE8439",9,1
"327","384.3B23AE8606",9,1
"328","384.3B23AE8638",9,1
"329","384.3B23AE8656",14,1
"330","384.3B23AE895F",14,1
"331","384.3B23AE8A3E",9,1
"332","384.3B23AE8D5C",9,1
"333","384.3B23AE8E1A",14,1
"334","384.3B23AE92BA",9,1
"335","384.3B23AE92E1",14,1
"336","384.3B23AE956B",14,1
"337","384.3B23AE9614",9,1
"338","384.3B23AE9948",14,1
"339","384.3B23AE99FC",14,1
"340","384.3B23AE9EB3",9,1
"341","384.3B23AE9EC6",9,1
"342","384.3B23AE9F8E",14,1
"343","384.3B23AE9FA5",9,1
"344","384.3B23AEA081",9,1
"345","384.3B23AEA099",9,1
"346","384.3B23AEA154",9,1
"347","384.3B23AEABE4",9,1
"348","384.3B23AEB441",14,1
"349","384.3B23AEB46A",14,1
"350","384.3B23AEB4F2",9,1
"351","384.3B23AEB511",14,1
"352","384.3B23AEBD41",14,1
"353","384.3B23AEBD77",14,1
"354","384.3B23AEBEE4",14,1
"355","384.3B23AEC105",14,1
"356","384.3B23AEC3C7",9,1
"357","384.3B23AEC63E",14,1
"358","384.3B23AEC787",14,1
"359","384.3B23AEC88F",14,1
"360","384.3B23AECB66",15,1
"361","384.3B23AECD2C",9,1
"362","384.3B23AECEF5",9,1
"363","384.3B23AECF57",9,1
"364","384.3B23AECFC8",9,1
"365","384.3B23AED266",14,1
"366","384.3B23AED307",9,1
"367","384.3B23AED810",14,1
"368","384.3B23AEE071",14,1
"369","384.3B23AEE08E",14,1
"370","384.3B23AEE760",14,1
"371","384.3B23AEE8F0",9,1
"372","384.3B23AEE902",9,1
"373","384.3B23AEE943",9,1
"374","384.3B23AEF00C",14,1
"375","384.3B23AEF37E",14,1
"376","384.3B23AEF3CC",14,1
"377","384.3B23AEF3F6",14,1
"378","384.3B23AEF476",14,1
"379","384.3B23AEFA7A",14,1
"380","384.3B23AEFB92",14,1
"381","384.3B23AEFBA5",14,1
"382","384.3B23AEFBF3",9,1
"383","384.3B23AEFF6F",15,1
"384","384.3B23AEFFBD",14,1
"385","384.3B23AF07E5",15,1
"386","384.3B23AF08B5",14,1
"387","384.3B23AF0938",14,1
"388","384.3B23AF099B",14,1
"389","384.3B23AF09F1",14,1
"390","384.3B23AF09F8",9,1
"391","384.3B23AF0A15",14,1
"392","384.3B23AF0F81",9,1
"393","384.3B23AF1104",9,1
"394","384.3B23AF17C9",14,1
"395","384.3B23AF1864",14,1
"396","384.3B23AF193D",14,1
"397","384.3B23AF19FC",14,1
"398","384.3B23AF1D5D",14,1
"399","384.3B23AF1DCD",15,1
"400","384.3B23AF23A4",14,1
"401","384.3B23AF2455",14,1
"402","384.3B23AF250D",14,1
"403","384.3B23AF2522",14,1
"404","384.3B23AF2547",14,1
"405","384.3B23AF26D3",14,1
"406","384.3B23AF2A6C",14,1
"407","384.3B23AF2AB0",14,1
"408","384.3B23AF2AD7",14,1
"409","384.3B23AF2B7C",9,1
"410","384.3B23AF35FE",9,1
"411","384.3B23AF3622",14,1
"412","384.3B23AF3CAC",15,1
"413","384.3B23AF3CFB",14,1
"414","384.3B23AF407D",14,1
"415","384.3B23AF40F1",9,1
"416","384.3B23AF411A",14,1
"417","384.3B23AF421E",14,1
"418","384.3B23AF45DA",14,1
"419","384.3B23AF47AE",14,1
"420","384.3B23AF4A98",9,1
"421","384.3B23AF4B2B",15,1
"422","384.3B23AF4BEE",14,1
"423","384.3B23AF4C58",14,1
"424","384.3B23AF5931",14,1
"425","384.3B23AF5951",14,1
"426","384.3B23AF5989",14,1
"427","384.3B23AF6181",14,1
"428","384.3B23AF61C6",14,1
"429","384.3B23AF6620",14,1
"430","384.3B23AF6C67",14,1
"431","384.3B23AF6CB6",14,1
"432","384.3B23AF6E31",14,1
"433","384.3B23AF88F7",14,1
"434","384.3B23AF9291",14,1
"435","384.3B23AF9867",14,1
"436","384.3B23AFA1E1",14,1
"437","384.3B23AFA1EB",14,1
"438","384.3B23AFB126",14,1
"439","384.3B23AFB8D8",14,1
"440","384.3B23AFC4B6",14,1
"441","384.3B23AFC4BF",14,1
"442","384.3B23AFD1E7",14,1
"443","384.3B23AFD7B2",14,1
"444","384.3B23AFD7B6",14,1
"445","384.3B23AFD820",14,1
"446","384.3B23B1FC5E",17,1
"447","384.3B23B23BF5",17,1
"448","384.3B23B23D6B",17,1
"449","3D6.000AC9D32D",9,1
"450","3D6.000AC9D33B",9,1
"451","3D6.000AC9D3E5",9,1
"452","3D6.000AC9D579",9,1
"453","3D6.000AC9EA4D",9,1
"454","3D6.000AC9EB34",9,1
"455","3D6.000B08A332",3,1
"456","3D6.000B08A343",3,1
"457","3D6.000B08A3B8",3,1
"458","3D6.000B08A691",3,1
"459","3D6.000B08A78A",3,1
"460","3D6.000B08AAD3",3,1
"461","3D6.000B095B70",3,2
"462","3D6.000B095BD2",3,2
"463","3D6.000B095C7A",3,1
"464","3D6.000B095E4A",3,1
"465","3D9.1BF0DD1A72",15,1
"466","3D9.1BF0DE2BE8",17,1
"467","3D9.1BF0DEC69B",17,1
"468","3D9.1BF0DED0CF",17,1
"469","3D9.1BF0DED555",17,1
"470","3D9.1BF0DEE9EA",17,1
"471","3D9.1BF0E196D1",17,1
"472","3D9.1BF0E29CAC",15,1
"473","3D9.1BF0E64A7C",15,1
"474","3D9.1BF0EC8CC5",17,1
"475","3D9.1BF0EC8F54",17,1
"476","3D9.1BF0F176C5",14,1
"477","3D9.1BF0F281EC",17,1
"478","3D9.1BF0F6E879",17,1
"479","3D9.1BF10118F3",14,1
"480","3D9.1BF101E198",17,1
"481","3D9.1BF13B3265",14,2
"482","3D9.1BF13D13E2",17,1
"483","3D9.1BF142C4E0",14,1
"484","3D9.1BF14451E7",17,1
"485","3D9.1BF1458118",14,2
"486","3D9.1BF14FF5A5",15,1
"487","3D9.1BF15066F1",15,1
"488","3D9.1BF150DD83",15,1
"489","3D9.1BF1579EA7",15,1
"490","3D9.1BF157B9E9",17,1
"491","3D9.1BF157BB02",15,1
"492","3D9.1BF157F8D9",14,2
"493","3D9.1BF1586896",15,1
"494","3D9.1BF158C58C",15,1
"495","3D9.1BF15946C0",17,1
"496","3D9.1BF159C7B7",15,1
"497","3D9.1BF15BA444",9,1
"498","3D9.1BF15CB9FE",9,1
"499","3D9.1BF15DA5FD",9,1
"500","3D9.1BF160AFD6",17,1
"501","3D9.1BF160CE54",17,1
"502","3D9.1BF160F54F",17,1
"503","3D9.1BF160F918",17,1
"504","3D9.1BF160FD37",17,1
"505","3D9.1BF16101F2",17,1
"506","3D9.1BF1620751",17,1
"507","3D9.1BF1621088",17,1
"508","3D9.1BF1629729",9,1
"509","3D9.1BF16EC3F6",15,1
"510","3D9.1BF16FA69A",15,1
"511","3D9.1BF1713D73",15,1
"512","3D9.1BF17160A9",15,1
"513","3D9.1BF171ADBF",17,1
"514","3D9.1BF17244C0",15,1
"515","3D9.1BF172CB63",17,1
"516","3D9.1BF172D7B3",17,1
"517","3D9.1BF173084F",17,1
"518","3D9.1BF1747056",15,1
"519","3D9.1BF176BFD0",17,1
"520","3D9.1BF176C1B7",17,1
"521","3D9.1BF17833EB",17,1
"522","3D9.1BF17839C4",17,1
"523","3D9.1BF1784376",17,1
"524","3D9.1BF178613D",17,1
"525","3D9.1BF17BFA32",14,2
"526","3D9.1BF17C1F43",14,1
