"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL_quick","ICH","LGR_quick","WEL_slow","LGR_slow"
"15",0,92.1723571428571,64.9492,75.2252,26.7863333333333,11.60525,9.72542105263158,35.483125,23.6801,1.10634939759036,0.0101846153846154
"16",0,92.3437857142857,65.9024,76.2242,25.8363333333333,10.77725,9.75063157894737,34.2165,24.209375,1.10634939759036,0.0101846153846154
"17",0,92.3926428571429,69.6632,77.491,23.4543333333333,11.174,9.82528947368421,33.91125,23.8814,1.10634939759036,0.0101846153846154
"18",0,92.7798571428571,66.5892,79.1902,23.682,10.9885,9.84228947368421,31.2185,23.706925,1.10634939759036,0.0101846153846154
"19",0,93.1182857142857,60.7918,84.6402,26.082,11.68025,9.79128947368421,31.490375,23.7468,1.10634939759036,0.0101846153846154
"20",0,93.4762857142857,62.7468,95.7076,30.2056666666667,13.29675,9.76563157894737,33.408125,23.402225,1.10569879518072,0.0101846153846154
"21",0,93.6280714285714,56.8076,96.271,31.7486666666667,13.64775,9.7425,34.362875,22.874725,1.10569879518072,0.0101846153846154
"22",0,93.4170714285714,44.6226,94.3518,32.5013333333333,14.21975,9.7425,34.933375,22.634825,1.10449397590361,0.0101846153846154
"23",0,93.7894285714286,36.5676,91.831,32.629,13.75625,9.68405263157895,32.541125,22.376075,1.10449397590361,0.0101846153846154
"24",0,93.1185714285714,29.8284,88.2944,30.5553333333333,13.726,9.65278947368421,30.614,22.377225,1.07527710843373,0.0101846153846154
"25",0,93.3227857142857,24.7484,88.457,30.4373333333333,13.823,9.60444736842105,29.54375,22.4116,1.04455421686747,0.0101846153846154
"26",0,93.4742857142857,25.136,89.5178,30.404,13.5345,9.56213157894737,30.3875,21.998875,1.04098795180723,0.0101846153846154
"27",0,93.5064285714286,54.3102,91.1794,31.4526666666667,13.9875,9.52144736842105,30.05775,21.433575,1.04098795180723,0.0101846153846154
"28",0,93.2742857142857,80.5276,90.0244,30.2416666666667,13.773,9.38910526315789,28.05975,21.188275,1.10007228915663,0.0101846153846154
"29",0,92.9079285714286,102.6268,89.796,29.435,13.2375,9.26728947368421,26.889375,20.8184,0.979433734939759,0.0101846153846154
"30",0,92.207,117.9868,83.83,28.706,12.229,9.25742105263158,25.57175,20.565275,0.904180722891566,0.0101846153846154
"31",0,92.0090714285714,139.6502,78.0234,25.7766666666667,10.82175,9.27255263157895,24.6395,20.39495,0.904180722891566,0.0101846153846154
"32",0,91.9915,123.8436,69.64,22.7683333333333,10.5625,9.27618421052632,24.188,19.9442,0.904180722891566,0.0101846153846154
"33",0,91.9971428571429,120.5012,71.3558,23.1583333333333,10.3605,9.22705263157895,23.027,19.677525,0.913819277108434,0.0101846153846154
"34",0,91.9816428571429,124.6704,76.6642,25.1916666666667,11.26275,9.15215789473684,23.242625,19.113475,0.926722891566265,0.0101846153846154
"35",0,91.6947857142857,133.977,77.0376,28.1693333333333,12.38675,9.05631578947368,22.4125,18.641075,0.929734939759036,0.0101846153846154
"36",0,91.9825714285714,127.871,79.2634,27.871,12.31175,8.99589473684211,22.235,18.37575,0.771903614457831,0.0101846153846154
"37",0,91.5328571428571,135.9068,84.9394,28.1556666666667,12.4845,8.94828947368421,20.62825,18.113975,0.762614457831325,0.0101846153846154
"38",0,91.6471428571429,137.655,85.7728,27.5196666666667,12.64075,8.92307894736842,18.11725,17.735125,0.762614457831325,0.0101846153846154
"39",0,91.2533571428571,134.0282,82.9544,28.1653333333333,12.41475,8.8745,18.9225,17.220975,0.762614457831325,0.0101846153846154
"40",0,90.9066428571429,134.469,87.586,28.4556666666667,12.3635,8.82297368421053,19.350125,16.984625,0.762614457831325,0.0101846153846154
"41",0,90.8497857142857,142.635,91.1302,28.8083333333333,12.66575,8.75476315789474,20.9005,16.5045,0.762614457831325,0.0101846153846154
"42",0,90.2063571428571,145.9108,92.9642,28.889,12.6605,8.66563157894737,20.132875,16.232,0.762614457831325,0.0101846153846154
"43",0,90.2885,146.2058,89.44,29.5433333333333,12.43125,8.61071052631579,20.299,15.96085,0.762614457831325,0.0101846153846154
"44",0,90.4361428571429,144.0034,88.65,27.7323333333333,11.54275,8.56355263157895,20.2255,15.563775,0.762614457831325,0.0101846153846154
"45",0,89.7542857142857,138.0584,86.2068,23.871,11.325,8.55257894736842,20.834875,15.333875,0.762614457831325,0.0101846153846154
"46",0,89.0317142857143,128.7474,84.0818,23.6333333333333,11.2355,8.29523684210526,21.775,14.9043,0.762614457831325,0.0101846153846154
