"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"144","Observation","YFK - Yankee Fork Salmon River","A4","A1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"145","Observation","CZY - Crazyman Creek at 0.6 km","A3","A1","Downstream Array","Upstream Array",100,NA
"146","Observation","IML - Imnaha River Weir Adult Ladder","F2","F1","Bottom Ladder Antenna","Top Ladder Antenna",110,NA
"147","Observation","CEY - Cearley Creek Side Channel","03","03","Downstream Array","Downstream Array",100,NA
"148","Observation","COC - Cow Creek ISA @ stream mouth","A2","A1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"149","Observation","LMJ - Lower Monumental Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
"150","Observation","CHL - Lower Chiwawa River","85","82","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"151","Observation","CHU - Upper Chiwawa River","95","95","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
"152","Observation","CRC - Carmen Creek, Salmon R. Basin","04","04","Middle Array","Middle Array",100,NA
"153","Observation","RCJ - Rock Creek John Day Basin","01","02","Upstream Array","Downstream Array",100,NA
"154","Observation","BHC - Bohannon Creek Lemhi R Basin","03","03","Downstream Array","Downstream Array",110,NA
"155","Observation","RCL - Rock Creek (WA) at rkm 5","A1","A1","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"156","Observation","RCS - Rock Creek (WA) at rkm 14","B2","B2","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"157","Observation","MWC - Maxwell Canal","A2","B2","HEADGATE","DIVERSION SCREEN",120,NA
"158","Observation","FDD - Feed Diversion Dam","B3","B3","ADULT LADDER RIGHT, FACING D/S","ADULT LADDER RIGHT, FACING D/S",100,NA
"159","Observation","JDM - Upper John Day River Array","05","04","Downstream Array","Downstream Array",120,NA
"160","Observation","UMF - Umatilla R below Feed Dam","03","03","Streamwidth array","Streamwidth array",100,NA
"161","Observation","SJ2 - SF John Day (Murderer's)","D3","D3","Downstream SF John Day","Downstream SF John Day",100,NA
"162","Observation","ROZ - Roza Diversion Dam (Combined)","03","01","DOWNSTREAM WEIR","UPSTREAM WEIR",110,NA
"163","Observation","TAN - Taneum Creek Instream","03","02","Downstream Antenna","Middle Antenna",150,NA
"164","Observation","SSJ - SUNNYSIDE JUVENILE","03","04","Trash Rack Bays","Bypass Entrance",110,NA
"165","Observation","SJ1 - SF John Day (Mid)","E4","E4","Downstream","Downstream",100,NA
"166","Observation","MDR - McDonald Road Bridge","01","01","Single Array","Single Array",100,NA
"167","Observation","LNR - Lower Naches River","03","03","Single Array","Single Array",100,NA
"168","Observation","MCL - Lower Mission Creek Instream","B4","B1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"169","Observation","SAT - Lower Satus Creek","11","11","Upstream","Upstream",100,NA
"170","Observation","RSH - Ringold Springs Hatch. Outfall","03","01","Downstream Array","Upstream Array",100,NA
"171","Observation","CLC - Clear Creek near Kooskia NFH","02","02","Clear Creek Array","Clear Creek Array",100,NA
"172","Observation","SWC - Swale Creek Array","05","01","Downstream Array","Upstream Array",100,NA
"173","Observation","MCD - Mill Creek Diversion Project","A2","A3","DIVISION WORKS FISH LADDER","DIVISION WORKS SPILLWAY BASIN",170,NA
"174","Observation","YHC - Yellowhawk Creek","A1","A1","INSTREAM ANTENNA AT HEADGATE","INSTREAM ANTENNA AT HEADGATE",110,NA
"175","Observation","SFG - SF Salmon at Guard Station Br.","A4","A4","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"176","Observation","ZEN - Secesh River at Zena Cr. Ranch","B4","B4","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",110,NA
"177","Observation","ESS - EFSF Salmon River at Parks Cr.","B1","A3","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"178","Observation","KRS - SF Salmon River at Krassel Cr.","A2","A2","Upstream Array","Upstream Array",120,NA
"179","Observation","KHS - Big Bear Cr. @ Kendrick HS","04","04","Upstream Array","Upstream Array",140,NA
"180","Observation","WEN - Wenaha River Mouth","03","03","Upstream Array","Upstream Array",100,NA
"181","Observation","HYC - Hayden Creek In-stream Array","A6","A1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",120,NA
